Galaxy,R_kpc,V_obs_kms,V_baryon_kms
DDO161_rotmod,0.6,16.0,14.318536936433135
DDO161_rotmod,0.73,16.6,16.375066412079065
DDO161_rotmod,0.85,18.6,17.879119105817267
DDO161_rotmod,0.98,20.0,19.968217246414362
DDO161_rotmod,1.07,21.4,21.26249750146958
DDO161_rotmod,1.54,28.9,27.1146086086449
DDO161_rotmod,2.02,32.9,31.18002565746218
DDO161_rotmod,2.49,35.2,33.63529247680181
DDO161_rotmod,2.96,37.6,34.90671138907245
DDO161_rotmod,3.43,40.6,35.32418010371932
DDO161_rotmod,3.9,42.7,35.80341464162322
DDO161_rotmod,4.37,45.5,35.96655251758222
DDO161_rotmod,4.86,48.9,35.986336295877635
DDO161_rotmod,5.34,51.5,35.891951744088814
DDO161_rotmod,5.81,53.0,35.67475437897225
DDO161_rotmod,6.28,55.0,35.70686208559918
DDO161_rotmod,6.75,57.6,35.760271251767655
DDO161_rotmod,7.22,59.7,35.96768549684563
DDO161_rotmod,7.69,60.5,36.35770069737634
DDO161_rotmod,8.16,61.8,36.796836820574676
DDO161_rotmod,8.64,62.9,37.021216889778216
DDO161_rotmod,9.11,63.0,37.29874662773536
DDO161_rotmod,9.58,64.5,37.20884303495609
DDO161_rotmod,10.05,65.6,37.007901858927376
DDO161_rotmod,10.52,67.5,36.29888428037424
DDO161_rotmod,10.99,66.8,35.472186287287116
DDO161_rotmod,11.46,66.8,34.518524012477705
DDO161_rotmod,11.94,66.6,33.57783346197309
DDO161_rotmod,12.41,66.8,32.650298620380184
DDO161_rotmod,12.9,66.3,31.86244968611171
DDO161_rotmod,13.37,66.1,30.952935240458213
