Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC2903_rotmod,0.32,44.0,197.82000025275502
NGC2903_rotmod,0.64,64.0,204.19000220382975
NGC2903_rotmod,0.96,128.0,209.11001530295005
NGC2903_rotmod,1.28,148.0,219.11001118159803
NGC2903_rotmod,1.6,157.0,225.96685420654066
NGC2903_rotmod,1.92,189.0,232.0775932743185
NGC2903_rotmod,2.24,195.0,251.39475034296163
NGC2903_rotmod,2.56,201.0,278.9189712084855
NGC2903_rotmod,2.88,214.0,292.1086333883338
NGC2903_rotmod,3.2,215.0,300.95614464569417
NGC2903_rotmod,3.52,215.0,298.84349833985016
NGC2903_rotmod,3.84,216.0,290.2695376714546
NGC2903_rotmod,4.8,214.0,275.7656086244258
NGC2903_rotmod,5.76,210.0,257.16444116557017
NGC2903_rotmod,6.72,205.0,238.07466265858702
NGC2903_rotmod,7.68,203.0,222.79859290399477
NGC2903_rotmod,8.64,201.0,211.12349016630054
NGC2903_rotmod,9.6,201.0,201.14807282198853
NGC2903_rotmod,10.56,199.0,192.5962876070045
NGC2903_rotmod,11.52,197.0,185.36519765047592
NGC2903_rotmod,12.48,196.0,178.16899169047346
NGC2903_rotmod,13.44,193.0,171.26758537446602
NGC2903_rotmod,14.4,190.0,165.01643857507045
NGC2903_rotmod,15.36,188.0,159.14855513010477
NGC2903_rotmod,16.32,187.0,154.09563556441174
NGC2903_rotmod,17.28,188.0,149.3132572814618
NGC2903_rotmod,18.24,186.0,145.0434417683199
NGC2903_rotmod,19.2,185.0,141.1414680382771
NGC2903_rotmod,20.16,185.0,137.50345813833192
NGC2903_rotmod,21.12,181.0,134.19419696842334
NGC2903_rotmod,22.08,178.0,131.19023820391516
NGC2903_rotmod,23.04,177.0,128.33549353160254
NGC2903_rotmod,24.0,182.0,125.8567475346475
NGC2903_rotmod,24.96,180.0,123.48815530244185
