Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC07151_rotmod,0.5,24.2,24.795245511992817
UGC07151_rotmod,1.0,42.0,39.49948100924872
UGC07151_rotmod,1.5,59.4,46.233981009642676
UGC07151_rotmod,2.0,63.9,50.15153038542294
UGC07151_rotmod,2.49,66.0,51.37007007976532
UGC07151_rotmod,3.0,67.2,51.875895172999186
UGC07151_rotmod,3.49,68.7,50.924910407383145
UGC07151_rotmod,4.0,71.3,52.252387505261424
UGC07151_rotmod,4.49,72.5,53.29975609700293
UGC07151_rotmod,5.01,74.0,54.62676724830053
UGC07151_rotmod,5.5,76.2,55.583771012769546
