Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F563-V1_rotmod,1.31,12.0,12.001633222191055
F563-V1_rotmod,2.63,21.7,19.422618258103103
F563-V1_rotmod,3.93,28.6,27.16969267400719
F563-V1_rotmod,5.24,29.5,29.250709393107034
F563-V1_rotmod,6.55,28.6,29.991307073883924
F563-V1_rotmod,7.87,27.3,30.840197794437053
