Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC06787_rotmod,0.12,134.0,179.22611109991757
UGC06787_rotmod,0.24,208.0,278.78241067183563
UGC06787_rotmod,0.35,252.0,310.1887641420946
UGC06787_rotmod,0.47,272.0,322.3949010142685
UGC06787_rotmod,0.59,276.0,325.34612061618316
UGC06787_rotmod,0.71,271.0,325.57438397392383
UGC06787_rotmod,0.83,266.0,323.4782394535991
UGC06787_rotmod,0.94,262.0,320.7560320555172
UGC06787_rotmod,1.06,260.0,319.55599165091553
UGC06787_rotmod,1.18,260.0,318.8563982422181
UGC06787_rotmod,1.3,259.0,317.7763746725046
UGC06787_rotmod,1.42,257.0,316.6290225168881
UGC06787_rotmod,1.53,254.0,314.98116419875015
UGC06787_rotmod,1.66,244.0,313.0672844613439
UGC06787_rotmod,1.89,228.0,308.7584442569952
UGC06787_rotmod,2.01,220.0,306.06291673445185
UGC06787_rotmod,2.13,215.0,303.18767207787323
UGC06787_rotmod,2.24,213.0,300.4149458665464
UGC06787_rotmod,3.1,228.0,278.93967143452363
UGC06787_rotmod,3.79,236.0,262.6272272632828
UGC06787_rotmod,3.9,236.0,260.18901840777215
UGC06787_rotmod,4.14,237.0,255.50033953010708
UGC06787_rotmod,4.25,237.0,253.43029278284789
UGC06787_rotmod,4.37,237.0,251.29804993274422
UGC06787_rotmod,4.49,237.0,249.3037893815495
UGC06787_rotmod,4.61,237.0,247.40830665117124
UGC06787_rotmod,4.72,236.0,245.7800596061446
UGC06787_rotmod,5.16,235.0,240.3867463068628
UGC06787_rotmod,5.43,234.0,237.75940864664008
UGC06787_rotmod,5.56,233.0,236.6163732711665
UGC06787_rotmod,5.67,233.0,235.65696976749913
UGC06787_rotmod,5.79,233.0,234.60525015438165
UGC06787_rotmod,5.91,232.0,233.31861884556065
UGC06787_rotmod,6.03,232.0,232.1449377005667
UGC06787_rotmod,6.2,232.0,230.56382652098748
UGC06787_rotmod,6.5,233.0,227.84743075136925
UGC06787_rotmod,6.85,235.0,225.08974143661013
UGC06787_rotmod,6.98,236.0,224.16626463408807
UGC06787_rotmod,7.09,236.0,223.46824069652496
UGC06787_rotmod,7.21,237.0,222.78086475278795
UGC06787_rotmod,7.22,238.0,222.73596858163702
UGC06787_rotmod,7.33,238.0,222.15407873815866
UGC06787_rotmod,7.45,239.0,221.5134002718571
UGC06787_rotmod,7.56,240.0,220.86621765222495
UGC06787_rotmod,8.26,247.0,215.05531427983826
UGC06787_rotmod,8.98,252.0,208.35355048570688
UGC06787_rotmod,9.09,253.0,207.3647783496513
UGC06787_rotmod,9.3,254.0,205.47794090850724
UGC06787_rotmod,10.32,253.0,196.35153398942418
UGC06787_rotmod,11.38,247.0,189.19786071729246
UGC06787_rotmod,12.4,238.0,182.92855053271484
UGC06787_rotmod,13.41,229.0,177.90398337305436
UGC06787_rotmod,14.43,223.0,173.02465286773443
UGC06787_rotmod,15.44,220.0,168.4062534468361
UGC06787_rotmod,16.57,220.0,163.70276631749385
UGC06787_rotmod,17.58,224.0,159.9467142519658
UGC06787_rotmod,18.6,228.0,156.23514905423812
UGC06787_rotmod,19.61,234.0,152.52634690439552
UGC06787_rotmod,20.62,239.0,149.34571637646658
UGC06787_rotmod,21.64,243.0,146.6813485075727
UGC06787_rotmod,22.77,245.0,144.2087084749045
UGC06787_rotmod,23.78,247.0,142.22681498226697
UGC06787_rotmod,24.79,249.0,140.0793025396686
UGC06787_rotmod,25.81,250.0,137.63942240506532
UGC06787_rotmod,26.82,251.0,135.27534365138388
UGC06787_rotmod,27.84,251.0,133.0728150299677
UGC06787_rotmod,29.41,248.0,129.61057672890743
UGC06787_rotmod,30.99,246.0,125.8936416186298
UGC06787_rotmod,32.57,249.0,122.5217405197951
UGC06787_rotmod,34.03,252.0,119.95293285284858
UGC06787_rotmod,37.19,255.0,114.0866311186372
