Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC5371_rotmod,1.45,216.0,240.9
NGC5371_rotmod,2.88,215.0,232.56
NGC5371_rotmod,4.33,215.0,235.54
NGC5371_rotmod,5.78,214.0,243.76
NGC5371_rotmod,7.22,215.0,245.32
NGC5371_rotmod,8.66,221.0,253.0
NGC5371_rotmod,11.55,233.0,281.8042476613864
NGC5371_rotmod,14.48,237.0,301.0640108016898
NGC5371_rotmod,17.28,242.0,297.94843530382906
NGC5371_rotmod,20.2,241.0,297.91609355655834
NGC5371_rotmod,23.12,240.0,290.69624730979933
NGC5371_rotmod,26.04,234.0,273.32879723878347
NGC5371_rotmod,28.84,226.0,255.76223587543174
NGC5371_rotmod,31.76,213.0,241.13074980184507
NGC5371_rotmod,34.68,207.0,229.4275484766378
NGC5371_rotmod,37.48,208.0,215.7312089151683
NGC5371_rotmod,40.4,209.0,205.04713848283765
NGC5371_rotmod,43.32,207.0,196.1550287400249
NGC5371_rotmod,46.24,213.0,188.66767449671923
