Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F563-1_rotmod,1.07,22.1,18.40680309016207
F563-1_rotmod,1.78,42.7,24.83910223820499
F563-1_rotmod,2.49,60.6,28.152530969701463
F563-1_rotmod,2.97,76.8,29.33064608903118
F563-1_rotmod,3.04,81.6,29.315526602808962
F563-1_rotmod,3.19,87.0,29.411999252005973
F563-1_rotmod,6.95,90.0,34.52960758537519
F563-1_rotmod,8.58,97.8,36.978872346246575
F563-1_rotmod,9.26,93.7,38.02526791490101
F563-1_rotmod,9.89,103.0,39.19242401281146
F563-1_rotmod,10.08,97.4,39.63898333711398
F563-1_rotmod,11.84,106.5,41.515208056807325
F563-1_rotmod,14.56,112.0,39.8575776986008
F563-1_rotmod,15.43,111.5,39.661090504422596
F563-1_rotmod,17.93,111.0,40.794607486774524
F563-1_rotmod,19.02,112.5,41.311318061761234
F563-1_rotmod,20.1,106.0,41.6653393121909
