Galaxy,R_kpc,V_obs_kms,V_baryon_kms
IC2574_rotmod,0.85,10.3,9.59
IC2574_rotmod,1.14,12.9,11.99
IC2574_rotmod,1.42,16.4,13.861908238045727
IC2574_rotmod,1.71,18.6,15.652683476005
IC2574_rotmod,1.99,19.8,17.53046491111973
IC2574_rotmod,2.28,26.1,18.698804774637335
IC2574_rotmod,2.55,27.7,19.922020479860972
IC2574_rotmod,2.84,29.7,20.791007671587252
IC2574_rotmod,3.13,33.0,21.517811226981244
IC2574_rotmod,3.41,34.8,22.01645975174029
IC2574_rotmod,3.7,35.0,21.924235448471173
IC2574_rotmod,3.98,39.0,21.89594711356419
IC2574_rotmod,4.26,35.9,22.723540657212734
IC2574_rotmod,4.55,40.0,24.82737400531921
IC2574_rotmod,4.84,38.7,27.12151175727489
IC2574_rotmod,5.12,41.8,28.330981274922337
IC2574_rotmod,5.41,42.9,28.895406209292158
IC2574_rotmod,5.68,44.4,29.920482950647706
IC2574_rotmod,5.97,46.1,30.779416823585205
IC2574_rotmod,6.26,49.0,31.710763157010273
IC2574_rotmod,6.54,51.9,32.47910867003588
IC2574_rotmod,6.83,53.1,32.45592241795016
IC2574_rotmod,7.1,54.0,32.57555218258011
IC2574_rotmod,7.39,55.9,32.749064108765
IC2574_rotmod,7.68,58.8,33.319059110365046
IC2574_rotmod,7.96,57.3,33.76046504419037
IC2574_rotmod,8.25,54.0,34.0532670972992
IC2574_rotmod,8.52,63.8,33.90553494637712
IC2574_rotmod,8.81,60.5,34.00629500548391
IC2574_rotmod,9.1,61.0,34.217640187482246
IC2574_rotmod,9.38,66.0,34.77264729640238
IC2574_rotmod,9.67,65.2,35.80586125203526
IC2574_rotmod,9.96,67.1,35.81432115788319
IC2574_rotmod,10.23,67.5,36.23216526789422
