Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC08490_rotmod,0.34,38.8,27.88485251888559
UGC08490_rotmod,0.68,50.1,40.152713482403655
UGC08490_rotmod,1.02,60.2,45.68022876475117
UGC08490_rotmod,1.36,68.2,47.83659686892453
UGC08490_rotmod,1.69,72.8,48.01641802550457
UGC08490_rotmod,2.03,75.3,47.5740118131738
UGC08490_rotmod,2.37,76.6,46.876435444687985
UGC08490_rotmod,2.7,77.6,46.08538271512997
UGC08490_rotmod,3.05,78.5,44.954221158863376
UGC08490_rotmod,3.38,78.2,44.11988780584103
UGC08490_rotmod,3.72,78.8,43.91853595009743
UGC08490_rotmod,4.06,79.2,43.58972355957307
UGC08490_rotmod,4.39,79.2,42.21027836913659
UGC08490_rotmod,4.74,79.2,40.773468088942344
UGC08490_rotmod,5.08,78.8,39.16477243646387
UGC08490_rotmod,5.41,78.5,37.26605157512666
UGC08490_rotmod,5.75,80.1,36.600875672584664
UGC08490_rotmod,6.09,80.1,36.22675806637961
UGC08490_rotmod,6.42,80.1,35.44658657755355
UGC08490_rotmod,6.77,80.1,34.84153412236608
UGC08490_rotmod,7.11,79.8,34.18422004375703
UGC08490_rotmod,7.44,79.8,34.435581888505965
UGC08490_rotmod,7.78,79.5,34.13930286341535
UGC08490_rotmod,8.12,79.5,32.92032350995354
UGC08490_rotmod,8.46,78.8,32.696645087837375
UGC08490_rotmod,8.8,77.9,32.5522180503879
UGC08490_rotmod,9.13,77.2,31.829610428027546
UGC08490_rotmod,9.47,77.6,31.114115767606187
UGC08490_rotmod,9.77,76.6,30.863068544783424
UGC08490_rotmod,10.15,77.6,30.777426793024787
