Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC04305_rotmod,0.25,3.17,6.533306972735936
UGC04305_rotmod,0.5,10.5,13.589385563740548
UGC04305_rotmod,0.75,17.5,18.713508489858334
UGC04305_rotmod,1.0,22.7,25.25998020585131
UGC04305_rotmod,1.26,29.7,30.606306539665972
UGC04305_rotmod,1.5,34.5,31.54714725613078
UGC04305_rotmod,1.76,36.0,32.08111282359139
UGC04305_rotmod,2.01,37.3,31.11529527418951
UGC04305_rotmod,2.26,35.6,31.74703923202918
UGC04305_rotmod,2.51,34.9,33.65059434839153
UGC04305_rotmod,2.76,32.7,36.3584515621884
UGC04305_rotmod,3.01,32.8,38.39673163174178
UGC04305_rotmod,3.27,33.2,39.245815063519835
UGC04305_rotmod,3.51,32.1,39.91912448939731
UGC04305_rotmod,3.76,30.1,39.94081871970078
UGC04305_rotmod,4.02,32.3,39.76549760785095
UGC04305_rotmod,4.26,33.6,39.41788933974015
UGC04305_rotmod,4.52,35.1,39.323278093261756
UGC04305_rotmod,4.77,35.3,39.529616744916716
UGC04305_rotmod,5.02,35.2,39.62852507979574
UGC04305_rotmod,5.27,34.6,39.065094393844745
UGC04305_rotmod,5.52,33.0,38.25611062301028
