Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC2915_rotmod,0.34,13.5,44.965484540923164
NGC2915_rotmod,0.67,31.3,49.47501288529393
NGC2915_rotmod,1.0,35.3,47.95249732808501
NGC2915_rotmod,1.34,50.5,45.47021882507275
NGC2915_rotmod,1.68,61.0,42.56496799012071
NGC2915_rotmod,2.01,66.5,39.99392078803977
NGC2915_rotmod,2.34,74.4,37.800624333468356
NGC2915_rotmod,2.67,83.0,35.88522258534841
NGC2915_rotmod,3.01,86.4,33.97888314821427
NGC2915_rotmod,3.35,83.6,32.27201419186599
NGC2915_rotmod,3.68,79.8,31.10021221792546
NGC2915_rotmod,4.02,82.8,30.28989600510375
NGC2915_rotmod,4.35,83.5,29.762677970908463
NGC2915_rotmod,4.68,80.4,29.32402598552934
NGC2915_rotmod,5.02,80.3,28.766988024469992
NGC2915_rotmod,5.35,82.1,28.10301763156405
NGC2915_rotmod,5.69,82.4,27.34188910810663
NGC2915_rotmod,6.03,80.9,26.664980780041823
NGC2915_rotmod,6.36,79.0,26.310549215096213
NGC2915_rotmod,6.69,81.4,26.226662006439174
NGC2915_rotmod,7.02,79.7,26.366928148724494
NGC2915_rotmod,7.36,77.5,26.48918647297421
NGC2915_rotmod,7.7,79.9,26.211816037810124
NGC2915_rotmod,8.03,81.5,26.136870508919003
NGC2915_rotmod,8.37,82.2,26.149787762045026
NGC2915_rotmod,8.7,82.0,26.116343541927918
NGC2915_rotmod,9.03,84.7,26.192533287179383
NGC2915_rotmod,9.37,86.1,26.135380234463778
NGC2915_rotmod,9.7,85.3,26.15970947850912
NGC2915_rotmod,10.04,86.5,25.97241036176658
