Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC6674_rotmod,2.5,206.0,210.99533857410213
NGC6674_rotmod,7.49,285.0,239.78249185459725
NGC6674_rotmod,12.54,291.0,246.38476271880126
NGC6674_rotmod,17.45,274.0,230.94749749672545
NGC6674_rotmod,22.47,266.0,214.4230449368724
NGC6674_rotmod,27.48,255.0,200.287256209675
NGC6674_rotmod,32.5,250.0,185.50228246574216
NGC6674_rotmod,37.51,242.0,172.84380492224764
NGC6674_rotmod,42.42,237.0,162.976333251181
NGC6674_rotmod,47.44,235.0,154.0754172475285
NGC6674_rotmod,52.45,236.0,145.60572825270302
NGC6674_rotmod,57.47,242.0,139.81780072651694
NGC6674_rotmod,62.48,246.0,134.42381373848906
NGC6674_rotmod,67.4,242.0,128.74928854172362
NGC6674_rotmod,72.41,242.0,123.21465253775624
