Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC4088_rotmod,1.74,84.9,137.12
NGC4088_rotmod,3.5,136.0,180.27
NGC4088_rotmod,5.24,162.0,241.53337243536348
NGC4088_rotmod,6.98,179.0,266.0199325238618
NGC4088_rotmod,8.72,182.0,247.18580076533524
NGC4088_rotmod,10.47,179.0,235.3753226232521
NGC4088_rotmod,12.19,174.0,225.54851761871547
NGC4088_rotmod,13.94,171.0,206.5361714083032
NGC4088_rotmod,15.68,168.0,192.1140338444852
NGC4088_rotmod,17.42,165.0,181.09665319933444
NGC4088_rotmod,19.28,171.0,170.92076205072337
NGC4088_rotmod,21.48,174.0,160.49922741247073
