Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC5055_rotmod,0.72,125.0,201.4920107597321
NGC5055_rotmod,1.43,162.0,240.15881266362055
NGC5055_rotmod,2.16,178.0,263.30176793937403
NGC5055_rotmod,2.87,193.0,280.7907818999762
NGC5055_rotmod,3.59,192.0,273.3865089941345
NGC5055_rotmod,4.3,190.0,272.22796421381844
NGC5055_rotmod,5.03,195.0,273.85946998415085
NGC5055_rotmod,5.75,201.0,276.5761674475948
NGC5055_rotmod,6.46,204.0,280.372021607007
NGC5055_rotmod,7.18,204.0,276.53767284042874
NGC5055_rotmod,7.91,206.0,272.65341534629636
NGC5055_rotmod,8.62,206.0,268.6051901955731
NGC5055_rotmod,11.49,206.0,247.79661276942429
NGC5055_rotmod,14.3,206.0,229.62955776641647
NGC5055_rotmod,17.19,203.0,213.808554552899
NGC5055_rotmod,20.07,200.0,195.55449803060014
NGC5055_rotmod,22.96,194.0,180.45204930950496
NGC5055_rotmod,25.85,188.0,168.43693478569358
NGC5055_rotmod,28.74,184.0,159.0985732179896
NGC5055_rotmod,31.62,182.0,151.63142286478748
NGC5055_rotmod,34.51,180.0,145.65951702515014
NGC5055_rotmod,37.4,181.0,139.3753224211517
NGC5055_rotmod,40.29,180.0,134.78499174611395
NGC5055_rotmod,43.17,179.0,130.76435599963776
NGC5055_rotmod,45.92,179.0,127.66389661920869
NGC5055_rotmod,48.81,179.0,124.10552969146862
NGC5055_rotmod,51.7,174.0,120.63868575212514
NGC5055_rotmod,54.59,172.0,117.01747732710699
