Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC02953_rotmod,0.09,231.0,81.4097967077673
UGC02953_rotmod,0.17,231.0,156.08005317784847
UGC02953_rotmod,0.26,231.0,206.8099248101986
UGC02953_rotmod,0.34,231.0,229.156350555685
UGC02953_rotmod,0.43,232.0,243.14685295105093
UGC02953_rotmod,0.51,232.0,251.81537165153364
UGC02953_rotmod,0.6,232.0,260.04868524951246
UGC02953_rotmod,0.69,232.0,266.5211222398705
UGC02953_rotmod,0.77,233.0,271.50126961029116
UGC02953_rotmod,0.86,233.0,275.95972622830305
UGC02953_rotmod,0.95,234.0,279.91459661832573
UGC02953_rotmod,1.03,235.0,283.96701850743153
UGC02953_rotmod,1.11,235.0,287.2655811265944
UGC02953_rotmod,1.2,236.0,291.33006350186383
UGC02953_rotmod,1.29,237.0,295.05003440094697
UGC02953_rotmod,1.38,238.0,298.28800394920347
UGC02953_rotmod,1.46,238.0,300.6458032303128
UGC02953_rotmod,1.55,239.0,302.7939502367905
UGC02953_rotmod,1.63,240.0,304.3629788591247
UGC02953_rotmod,1.72,241.0,305.76427047645706
UGC02953_rotmod,1.8,242.0,306.8111554360434
UGC02953_rotmod,1.89,243.0,307.73066762999105
UGC02953_rotmod,1.98,244.0,308.462328656191
UGC02953_rotmod,2.07,246.0,309.09091817780734
UGC02953_rotmod,2.15,247.0,309.59465386211053
UGC02953_rotmod,2.23,248.0,310.0816455387194
UGC02953_rotmod,2.32,249.0,310.64205285183135
UGC02953_rotmod,2.4,251.0,311.1779756023874
UGC02953_rotmod,2.49,252.0,311.87634280272044
UGC02953_rotmod,2.58,253.0,312.7698844198399
UGC02953_rotmod,2.67,254.0,313.9289324034979
UGC02953_rotmod,2.75,256.0,315.1554587818526
UGC02953_rotmod,2.83,257.0,316.57031446425924
UGC02953_rotmod,2.92,259.0,318.3761214350096
UGC02953_rotmod,3.0,260.0,320.01131011262714
UGC02953_rotmod,3.09,262.0,321.82586052087237
UGC02953_rotmod,3.18,263.0,323.46472017825994
UGC02953_rotmod,3.27,264.0,324.9469392070035
UGC02953_rotmod,3.35,266.0,326.1291514109096
UGC02953_rotmod,3.43,267.0,327.15898719124317
UGC02953_rotmod,4.21,280.0,332.56960098601917
UGC02953_rotmod,4.29,282.0,332.9454246569548
UGC02953_rotmod,4.38,283.0,333.24209578023004
UGC02953_rotmod,4.47,285.0,333.5639016740271
UGC02953_rotmod,4.8,290.0,334.4346514642285
UGC02953_rotmod,5.25,296.0,336.19351480955135
UGC02953_rotmod,5.32,298.0,336.4902870812173
UGC02953_rotmod,5.41,299.0,336.76657405389864
UGC02953_rotmod,5.5,300.0,336.9450539776478
UGC02953_rotmod,5.58,301.0,336.97466892928315
UGC02953_rotmod,5.67,302.0,336.7364505069209
UGC02953_rotmod,5.76,303.0,336.705152173233
UGC02953_rotmod,6.0,306.0,336.5481732233887
UGC02953_rotmod,6.18,307.0,336.26675571635093
UGC02953_rotmod,6.27,308.0,336.1361481602358
UGC02953_rotmod,6.36,309.0,336.0482228788006
UGC02953_rotmod,6.45,310.0,336.0131405168554
UGC02953_rotmod,6.53,310.0,336.0223636902758
UGC02953_rotmod,6.61,311.0,336.11955090413886
UGC02953_rotmod,6.7,312.0,336.3501612902839
UGC02953_rotmod,6.79,312.0,336.71506218166127
UGC02953_rotmod,6.87,313.0,336.68211505810643
UGC02953_rotmod,6.96,313.0,337.0027433122763
UGC02953_rotmod,7.05,314.0,337.26153338321876
UGC02953_rotmod,7.2,315.0,337.4129437351211
UGC02953_rotmod,7.39,316.0,336.9770873516477
UGC02953_rotmod,7.47,316.0,336.50234189378233
UGC02953_rotmod,7.99,318.0,332.92358838027684
UGC02953_rotmod,8.08,318.0,332.4780246873468
UGC02953_rotmod,8.16,318.0,332.0346248510839
UGC02953_rotmod,8.25,319.0,331.88162784342256
UGC02953_rotmod,8.34,319.0,331.72321504531453
UGC02953_rotmod,8.4,319.0,331.5951997541581
UGC02953_rotmod,9.59,319.0,326.285941775002
UGC02953_rotmod,10.8,317.0,319.55059458558355
UGC02953_rotmod,12.02,312.0,316.84558731344197
UGC02953_rotmod,13.22,308.0,312.3901986298546
UGC02953_rotmod,14.42,303.0,303.6741406507969
UGC02953_rotmod,15.63,298.0,290.55714033559735
UGC02953_rotmod,16.83,296.0,277.6216351439491
UGC02953_rotmod,18.03,294.0,268.66833233561414
UGC02953_rotmod,19.23,294.0,260.44447200891017
UGC02953_rotmod,20.43,294.0,252.30147779987337
UGC02953_rotmod,21.64,292.0,244.65867652711603
UGC02953_rotmod,22.84,290.0,237.50830111808727
UGC02953_rotmod,24.04,287.0,230.63114815653154
UGC02953_rotmod,25.24,283.0,224.01251058813656
UGC02953_rotmod,26.44,279.0,217.86913388545887
UGC02953_rotmod,27.65,276.0,212.2780933115803
UGC02953_rotmod,28.85,273.0,207.1387044953212
UGC02953_rotmod,30.05,271.0,202.36832261991995
UGC02953_rotmod,31.25,270.0,198.06177293965638
UGC02953_rotmod,32.34,268.0,194.4761460950931
UGC02953_rotmod,33.55,267.0,190.76948629170232
UGC02953_rotmod,34.75,266.0,187.20920783978548
UGC02953_rotmod,35.95,265.0,183.76699404408834
UGC02953_rotmod,37.15,264.0,180.49678612097225
UGC02953_rotmod,38.35,264.0,177.44390916568537
UGC02953_rotmod,39.56,264.0,174.58931296044437
UGC02953_rotmod,40.76,264.0,172.01895854817863
UGC02953_rotmod,41.96,264.0,169.54704420897463
