Galaxy,R_kpc,V_obs_kms,V_baryon_kms
DDO154_rotmod,0.49,13.8,12.865601423952167
DDO154_rotmod,0.99,21.6,16.350966332299752
DDO154_rotmod,1.48,28.9,16.907377088123397
DDO154_rotmod,1.97,34.3,17.623677255328978
DDO154_rotmod,2.47,38.2,17.938375065763342
DDO154_rotmod,2.96,42.0,18.61036270468687
DDO154_rotmod,3.46,44.6,19.48889170784219
DDO154_rotmod,3.95,46.3,19.522832786253126
DDO154_rotmod,4.44,47.4,18.93923176900267
DDO154_rotmod,4.94,48.2,18.278320491773854
DDO154_rotmod,5.43,47.4,17.548244926487662
DDO154_rotmod,5.92,45.5,16.8462814888034
