Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC6195_rotmod,1.33,175.0,242.6980683895115
NGC6195_rotmod,2.34,237.0,272.06602213433416
NGC6195_rotmod,3.33,247.0,281.45533961891715
NGC6195_rotmod,4.34,242.0,288.06456654715447
NGC6195_rotmod,5.35,240.0,291.0182971910873
NGC6195_rotmod,6.34,233.0,295.60277891115976
NGC6195_rotmod,7.34,233.0,298.2041062762215
NGC6195_rotmod,8.32,247.0,297.5689145391366
NGC6195_rotmod,9.34,248.0,294.47520370992186
NGC6195_rotmod,10.38,242.0,293.90426944840385
NGC6195_rotmod,11.36,252.0,292.1696599580456
NGC6195_rotmod,12.34,245.0,289.3921813041949
NGC6195_rotmod,13.32,247.0,288.9820719352673
NGC6195_rotmod,14.3,238.0,290.72461780867474
NGC6195_rotmod,15.47,249.0,294.05908215867095
NGC6195_rotmod,16.35,250.0,294.39528885496793
NGC6195_rotmod,17.92,253.0,294.08368094812744
NGC6195_rotmod,19.1,258.0,294.5357365414255
NGC6195_rotmod,22.52,254.0,287.34229431115773
NGC6195_rotmod,26.05,256.0,269.058109708665
NGC6195_rotmod,29.48,255.0,250.81881687784113
NGC6195_rotmod,33.0,244.0,235.625946576348
NGC6195_rotmod,36.43,246.0,226.17894574871465
