Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC06983_rotmod,1.74,56.9,57.53
UGC06983_rotmod,2.61,87.4,63.17
UGC06983_rotmod,3.5,92.1,61.1
UGC06983_rotmod,4.37,93.5,59.64642654845301
UGC06983_rotmod,5.24,98.2,59.98274418530716
UGC06983_rotmod,6.11,99.7,59.50775747749196
UGC06983_rotmod,6.98,102.0,60.88311177986881
UGC06983_rotmod,7.85,107.0,63.027712159017796
UGC06983_rotmod,8.72,108.0,62.13607084455856
UGC06983_rotmod,9.6,110.0,61.47448657776655
UGC06983_rotmod,10.47,113.0,62.55081933915814
UGC06983_rotmod,11.35,110.0,62.61798862946653
UGC06983_rotmod,12.19,108.0,61.86975432309393
UGC06983_rotmod,13.12,109.0,61.13476343292743
UGC06983_rotmod,13.94,108.0,59.65506600448951
UGC06983_rotmod,14.86,108.0,58.02080058048148
UGC06983_rotmod,15.68,109.0,56.62515518742532
