Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC2683_rotmod,2.89,189.0,222.856756011569
NGC2683_rotmod,5.77,212.0,238.81344350768867
NGC2683_rotmod,8.66,206.0,205.3138022637543
NGC2683_rotmod,11.54,200.0,191.9199512817779
NGC2683_rotmod,14.43,172.0,166.49890329969145
NGC2683_rotmod,17.31,190.0,150.1313458275786
NGC2683_rotmod,20.2,169.0,137.24746300023182
NGC2683_rotmod,23.08,150.0,127.01034170491788
NGC2683_rotmod,28.85,160.0,112.4125299955481
NGC2683_rotmod,31.74,155.0,106.83666692666895
NGC2683_rotmod,34.62,151.0,102.08162910142059
