Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC7793_rotmod,0.11,9.1,27.237756882680337
NGC7793_rotmod,0.14,17.6,29.917062021528785
NGC7793_rotmod,0.17,19.3,32.32653553970793
NGC7793_rotmod,0.21,24.8,35.62593016329538
NGC7793_rotmod,0.24,30.0,37.98720837334589
NGC7793_rotmod,0.28,35.0,40.67995698129486
NGC7793_rotmod,0.32,38.3,43.212758532637096
NGC7793_rotmod,0.35,42.7,45.056250398807045
NGC7793_rotmod,0.39,47.0,47.3495353725884
NGC7793_rotmod,0.42,49.8,48.91362284681028
NGC7793_rotmod,0.46,52.2,51.02733483144108
NGC7793_rotmod,0.49,53.4,52.63182402311362
NGC7793_rotmod,0.53,54.6,54.83612039522854
NGC7793_rotmod,0.56,55.5,56.269950239892694
NGC7793_rotmod,0.6,55.9,57.61317384071112
NGC7793_rotmod,0.63,58.3,58.57715766405878
NGC7793_rotmod,0.66,59.3,59.64116866728887
NGC7793_rotmod,0.7,59.5,61.13488774832256
NGC7793_rotmod,0.87,59.1,66.16646053704248
NGC7793_rotmod,1.05,62.6,69.76248347070222
NGC7793_rotmod,1.22,65.6,72.54878083055566
NGC7793_rotmod,1.4,70.7,75.77865794536085
NGC7793_rotmod,1.57,73.9,79.40491168687237
NGC7793_rotmod,1.75,78.5,83.32317924803397
NGC7793_rotmod,1.92,82.4,88.30857829225879
NGC7793_rotmod,2.1,87.1,93.2985959165517
NGC7793_rotmod,2.27,89.6,97.09155473057375
NGC7793_rotmod,2.45,94.9,97.83436257266666
NGC7793_rotmod,2.62,98.1,97.67731210470527
NGC7793_rotmod,2.79,99.3,98.34580316414117
NGC7793_rotmod,2.97,98.6,99.18853361150168
NGC7793_rotmod,3.16,101.0,99.51307703010696
NGC7793_rotmod,3.33,103.0,99.04366966141754
NGC7793_rotmod,3.51,107.0,98.4316356665884
NGC7793_rotmod,3.68,114.0,97.90706001101248
NGC7793_rotmod,3.85,112.0,96.966214734824
NGC7793_rotmod,4.03,114.0,95.96000468945383
NGC7793_rotmod,4.2,116.0,94.73248914707139
NGC7793_rotmod,4.38,114.0,93.35488685655402
NGC7793_rotmod,4.73,114.0,91.25140711243854
NGC7793_rotmod,5.25,109.0,88.89309590738755
NGC7793_rotmod,5.78,107.0,84.94400037671878
NGC7793_rotmod,6.3,105.0,81.90696795755535
NGC7793_rotmod,6.82,101.0,79.56559369476231
NGC7793_rotmod,7.35,94.5,76.43767461141135
NGC7793_rotmod,7.87,90.8,73.73891306494828
