Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC02885_rotmod,1.7,305.0,281.41080594035475
UGC02885_rotmod,3.41,257.0,281.4783011175106
UGC02885_rotmod,6.82,256.0,282.1156828324154
UGC02885_rotmod,13.67,271.0,274.45804779601565
UGC02885_rotmod,19.49,282.0,261.95053597960055
UGC02885_rotmod,23.36,287.0,258.5757819286253
UGC02885_rotmod,27.24,283.0,252.17976485039398
UGC02885_rotmod,31.22,280.0,242.48304414948277
UGC02885_rotmod,35.1,280.0,233.71294358678554
UGC02885_rotmod,38.97,281.0,227.55473187784955
UGC02885_rotmod,42.85,282.0,221.10342692957067
UGC02885_rotmod,46.73,287.0,210.88064823496725
UGC02885_rotmod,50.71,292.0,207.7432923104859
UGC02885_rotmod,54.58,298.0,206.55281237494685
UGC02885_rotmod,58.46,298.0,202.7309157479441
UGC02885_rotmod,62.34,298.0,196.36123395415908
UGC02885_rotmod,66.21,298.0,191.1225452425747
UGC02885_rotmod,70.19,298.0,188.09463283145533
UGC02885_rotmod,74.07,298.0,183.50488113399055
