Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC3198_rotmod,0.32,24.4,63.28
NGC3198_rotmod,0.64,43.3,73.66
NGC3198_rotmod,0.96,45.5,78.98
NGC3198_rotmod,1.28,58.5,82.70074062546236
NGC3198_rotmod,1.61,68.8,84.22013357861645
NGC3198_rotmod,1.93,76.9,83.17001502945638
NGC3198_rotmod,2.24,82.0,87.04126894755154
NGC3198_rotmod,2.57,86.9,88.91507521224958
NGC3198_rotmod,2.89,97.6,88.99149004258778
NGC3198_rotmod,3.21,100.0,93.81692651115789
NGC3198_rotmod,3.54,107.0,101.22075133094003
NGC3198_rotmod,3.85,113.0,108.53059706829222
NGC3198_rotmod,4.17,117.0,115.52000043282548
NGC3198_rotmod,4.5,119.0,120.54909788131971
NGC3198_rotmod,4.82,127.0,125.50543135657517
NGC3198_rotmod,5.15,132.0,129.5399567701024
NGC3198_rotmod,5.46,134.0,133.342371735319
NGC3198_rotmod,5.78,137.0,136.70281123663844
NGC3198_rotmod,6.1,140.0,139.73059686410846
NGC3198_rotmod,6.43,142.0,142.2462463476629
NGC3198_rotmod,6.74,144.0,142.80586577588468
NGC3198_rotmod,7.06,146.0,141.5263950646663
NGC3198_rotmod,8.04,147.0,136.66636199153032
NGC3198_rotmod,9.04,148.0,132.3148706684173
NGC3198_rotmod,10.04,152.0,130.27030513513046
NGC3198_rotmod,11.04,155.0,129.53229442884117
NGC3198_rotmod,12.05,156.0,128.5558730669276
NGC3198_rotmod,14.05,157.0,123.04960300626736
NGC3198_rotmod,16.07,153.0,114.18718535807773
NGC3198_rotmod,18.13,153.0,107.92139546910983
NGC3198_rotmod,20.05,154.0,104.30430911520388
NGC3198_rotmod,22.12,153.0,100.28798532227079
NGC3198_rotmod,24.03,150.0,96.53472846597747
NGC3198_rotmod,26.1,149.0,93.51413262175937
NGC3198_rotmod,28.16,148.0,91.1731961708045
NGC3198_rotmod,30.08,146.0,88.53151416303687
NGC3198_rotmod,32.14,147.0,85.75597063761799
NGC3198_rotmod,34.06,148.0,83.88184666541385
NGC3198_rotmod,36.12,148.0,82.55612878520891
NGC3198_rotmod,38.19,149.0,81.3620955973972
NGC3198_rotmod,40.1,150.0,80.36526612909336
NGC3198_rotmod,42.17,150.0,79.84832434058964
NGC3198_rotmod,44.08,149.0,78.01873172514406
