Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC7814_rotmod,0.63,265.0,347.4947778024873
NGC7814_rotmod,1.72,250.0,309.9417782423015
NGC7814_rotmod,2.79,233.0,275.9532815532368
NGC7814_rotmod,3.91,230.0,254.82306822577897
NGC7814_rotmod,5.03,228.0,237.71180050641155
NGC7814_rotmod,6.14,228.0,221.59800044224227
NGC7814_rotmod,7.26,227.0,207.60573522906344
NGC7814_rotmod,8.37,226.0,196.93669160418025
NGC7814_rotmod,9.5,223.0,187.23392774815147
NGC7814_rotmod,10.65,219.0,178.55461993462953
NGC7814_rotmod,11.74,216.0,171.0549820964008
NGC7814_rotmod,12.82,214.0,163.9687976415025
NGC7814_rotmod,14.01,214.0,156.60661831480814
NGC7814_rotmod,15.09,214.0,151.01837835177545
NGC7814_rotmod,16.18,214.0,146.13197665124494
NGC7814_rotmod,17.36,214.0,140.95927922630705
NGC7814_rotmod,18.44,214.0,136.65711470684576
NGC7814_rotmod,19.53,214.0,132.75440557661352
