Galaxy,R_kpc,V_obs_kms,V_baryon_kms
PGC51017_rotmod,0.33,20.5,11.918120657217731
PGC51017_rotmod,0.99,19.9,22.59784281740184
PGC51017_rotmod,1.65,19.3,23.590398470564246
PGC51017_rotmod,2.31,18.8,22.22583181795453
PGC51017_rotmod,2.97,18.2,20.967930274588383
PGC51017_rotmod,3.63,18.3,20.29507329378241
