Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F583-1_rotmod,0.26,14.6,5.084643546995206
F583-1_rotmod,0.44,10.0,8.215138465053403
F583-1_rotmod,0.77,10.7,13.23110350651071
F583-1_rotmod,0.89,17.4,14.658475364102502
F583-1_rotmod,1.22,23.5,17.45992554394205
F583-1_rotmod,1.55,31.0,18.61013970930901
F583-1_rotmod,1.8,32.3,18.524980431838518
F583-1_rotmod,2.21,40.9,19.384130106868348
F583-1_rotmod,2.31,43.8,19.732402286594503
F583-1_rotmod,2.54,44.8,20.568714106623194
F583-1_rotmod,3.1,51.7,22.752828395608315
F583-1_rotmod,3.43,55.7,24.21915977072698
F583-1_rotmod,3.86,59.4,25.128241084485005
F583-1_rotmod,4.09,62.0,25.37383888969109
F583-1_rotmod,4.37,63.0,26.11673792800318
F583-1_rotmod,4.76,66.6,27.046718839814933
F583-1_rotmod,5.4,71.3,28.48563497624724
F583-1_rotmod,5.86,72.3,29.402394460315644
F583-1_rotmod,6.08,73.4,29.75292422603197
F583-1_rotmod,6.43,72.4,30.400830580758807
F583-1_rotmod,6.97,77.1,31.606589502823617
F583-1_rotmod,7.96,80.3,33.83586410895989
F583-1_rotmod,10.29,84.7,38.60471085243354
F583-1_rotmod,15.49,86.9,43.17133308110835
F583-1_rotmod,16.26,85.8,43.08445891501946
