Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F579-V1_rotmod,0.42,35.7,15.483607460795433
F579-V1_rotmod,1.47,83.3,40.92651951974417
F579-V1_rotmod,2.11,94.2,48.84802964296513
F579-V1_rotmod,2.84,97.6,53.605969816803054
F579-V1_rotmod,3.9,101.0,57.91132963419162
F579-V1_rotmod,4.74,105.0,63.96273055459718
F579-V1_rotmod,5.69,106.0,69.23770071283418
F579-V1_rotmod,6.32,108.0,71.41734313176316
F579-V1_rotmod,7.37,110.0,74.55555780758401
F579-V1_rotmod,8.21,112.0,75.48106650014955
F579-V1_rotmod,9.16,113.0,77.29093737301936
F579-V1_rotmod,10.85,114.0,77.96495238246479
F579-V1_rotmod,12.21,114.0,75.47465799856266
F579-V1_rotmod,15.16,114.0,71.64346795067922
