Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC07125_rotmod,1.44,26.1,29.03936121886981
UGC07125_rotmod,2.88,43.0,40.57920649790974
UGC07125_rotmod,4.33,48.5,42.56273604927202
UGC07125_rotmod,5.76,52.5,43.20567092408125
UGC07125_rotmod,7.2,56.4,41.58235803799491
UGC07125_rotmod,8.64,58.5,42.91979729681863
UGC07125_rotmod,10.08,61.5,44.38799837793995
UGC07125_rotmod,11.47,64.6,45.67986427300326
UGC07125_rotmod,13.0,65.6,50.03209369994424
UGC07125_rotmod,14.42,65.4,49.971513885412755
UGC07125_rotmod,15.84,65.5,47.915561146667166
UGC07125_rotmod,17.26,65.1,47.737835099635596
UGC07125_rotmod,18.68,64.9,43.258688144695284
