Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F583-4_rotmod,0.22,10.7,5.6097237008608545
F583-4_rotmod,0.76,24.7,17.728897314836022
F583-4_rotmod,1.31,38.9,26.83994225031045
F583-4_rotmod,1.94,42.7,32.63540715235525
F583-4_rotmod,3.92,55.0,39.19282587413161
F583-4_rotmod,4.35,57.2,39.508907856330325
F583-4_rotmod,5.0,59.8,40.42422664690074
F583-4_rotmod,5.05,62.5,40.42083126309997
F583-4_rotmod,5.83,61.8,40.24219675912338
F583-4_rotmod,6.09,64.4,40.195712457922674
F583-4_rotmod,6.74,67.2,41.714089945724574
F583-4_rotmod,7.29,69.9,40.0131290953357
