Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC3877_rotmod,0.87,37.8,101.87
NGC3877_rotmod,1.74,80.1,114.98
NGC3877_rotmod,2.61,121.0,122.0
NGC3877_rotmod,3.5,142.0,133.02219062998475
NGC3877_rotmod,4.37,153.0,144.6624941026526
NGC3877_rotmod,5.24,160.0,160.93874393694017
NGC3877_rotmod,6.11,162.0,182.71027612041968
NGC3877_rotmod,6.98,167.0,195.19184665349113
NGC3877_rotmod,7.85,169.0,199.63756785735495
NGC3877_rotmod,8.72,171.0,202.8341009297993
NGC3877_rotmod,9.6,171.0,203.86472696373934
NGC3877_rotmod,10.47,170.0,197.38637465640835
NGC3877_rotmod,11.35,169.0,192.15082851759968
