Galaxy,R_kpc,V_obs_kms,V_baryon_kms
ESO079-G014_rotmod,0.41,33.2,29.034231520741166
ESO079-G014_rotmod,0.98,50.4,47.803850263341765
ESO079-G014_rotmod,1.78,53.9,62.455829191517424
ESO079-G014_rotmod,2.69,67.6,75.96270729772604
ESO079-G014_rotmod,3.36,81.7,82.7209556279423
ESO079-G014_rotmod,4.39,102.0,87.36533065238179
ESO079-G014_rotmod,5.65,116.0,92.71797506416974
ESO079-G014_rotmod,6.34,132.0,96.73140389759676
ESO079-G014_rotmod,6.89,137.0,101.22834484471234
ESO079-G014_rotmod,8.34,154.0,115.10685904845114
ESO079-G014_rotmod,10.04,163.0,130.9806523880531
ESO079-G014_rotmod,11.65,170.0,136.90796397580382
ESO079-G014_rotmod,13.36,175.0,137.8288072211321
ESO079-G014_rotmod,15.06,177.0,134.42007476563907
ESO079-G014_rotmod,16.67,178.0,130.66190339957552
