Galaxy,R_kpc,V_obs_kms,V_baryon_kms
ESO563-G021_rotmod,0.45,18.9,65.19
ESO563-G021_rotmod,1.34,58.3,120.17
ESO563-G021_rotmod,2.23,74.1,137.48
ESO563-G021_rotmod,3.12,119.0,146.18
ESO563-G021_rotmod,4.01,141.0,157.86
ESO563-G021_rotmod,4.9,195.0,175.79
ESO563-G021_rotmod,5.79,227.0,199.19
ESO563-G021_rotmod,6.69,246.0,217.87
ESO563-G021_rotmod,7.58,268.0,228.65
ESO563-G021_rotmod,8.47,283.0,241.76
ESO563-G021_rotmod,10.23,291.0,260.94
ESO563-G021_rotmod,12.06,310.0,275.0400029086679
ESO563-G021_rotmod,13.44,310.0,277.98028779033956
ESO563-G021_rotmod,15.18,310.0,282.2671334038024
ESO563-G021_rotmod,16.83,314.0,283.7363587910439
ESO563-G021_rotmod,18.56,317.0,277.4176075882712
ESO563-G021_rotmod,20.3,319.0,274.1903712751416
ESO563-G021_rotmod,21.94,318.0,275.0623645648383
ESO563-G021_rotmod,23.68,317.0,274.2245512349323
ESO563-G021_rotmod,25.41,317.0,265.4585180400132
ESO563-G021_rotmod,27.06,312.0,257.17034238029856
ESO563-G021_rotmod,28.8,312.0,247.63895028851982
ESO563-G021_rotmod,30.53,311.0,238.15547211853016
ESO563-G021_rotmod,32.18,310.0,230.78446091537447
ESO563-G021_rotmod,33.91,313.0,224.30081163473304
ESO563-G021_rotmod,35.65,320.0,217.71449767987434
ESO563-G021_rotmod,37.3,321.0,212.31512287164097
ESO563-G021_rotmod,39.03,320.0,206.59717931278735
ESO563-G021_rotmod,40.76,315.0,201.30546962266078
ESO563-G021_rotmod,42.41,312.0,196.97196805637088
