Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC01230_rotmod,0.78,19.8,21.27854318321628
UGC01230_rotmod,2.35,55.4,41.58850321903879
UGC01230_rotmod,3.91,88.5,47.59366029210193
UGC01230_rotmod,5.48,105.0,53.7404670616101
UGC01230_rotmod,7.03,106.0,56.808289888008424
UGC01230_rotmod,8.6,103.0,58.26804355733939
UGC01230_rotmod,13.27,109.0,60.23183377583651
UGC01230_rotmod,14.85,113.0,61.02819430394447
UGC01230_rotmod,25.8,105.0,60.28010119434108
UGC01230_rotmod,32.01,103.0,55.22953648185
UGC01230_rotmod,36.54,103.0,50.42213898675858
