Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC08550_rotmod,0.49,25.0,17.379815879346936
UGC08550_rotmod,0.97,42.5,27.012959852633696
UGC08550_rotmod,1.47,48.0,30.659944553113593
UGC08550_rotmod,1.95,49.2,30.61823312995053
UGC08550_rotmod,2.44,50.4,27.868952258741267
UGC08550_rotmod,2.92,51.6,25.197341129571587
UGC08550_rotmod,3.41,53.2,24.24608834430824
UGC08550_rotmod,3.89,55.1,23.9336290603828
UGC08550_rotmod,4.39,57.8,25.287255683446556
UGC08550_rotmod,4.88,57.3,26.842550176911285
UGC08550_rotmod,5.36,57.5,26.984930980085906
