Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC11455_rotmod,0.62,35.1,71.20472175354666
UGC11455_rotmod,1.23,64.6,112.64443883299343
UGC11455_rotmod,1.83,80.1,139.72563186473698
UGC11455_rotmod,2.47,113.0,159.1161164055986
UGC11455_rotmod,3.08,136.0,171.24374966695865
UGC11455_rotmod,3.68,150.0,180.90008955221666
UGC11455_rotmod,4.32,171.0,190.21
UGC11455_rotmod,4.91,192.0,198.61010069983854
UGC11455_rotmod,5.53,197.0,213.09009385703504
UGC11455_rotmod,6.17,195.0,230.24
UGC11455_rotmod,6.78,196.0,253.17066437484416
UGC11455_rotmod,7.38,216.0,275.54207900064915
UGC11455_rotmod,8.0,225.0,287.96
UGC11455_rotmod,8.62,240.0,290.86
UGC11455_rotmod,9.23,247.0,295.7360703397541
UGC11455_rotmod,9.85,254.0,302.52658329475776
UGC11455_rotmod,10.43,257.0,308.54194803948457
UGC11455_rotmod,11.05,273.0,313.37088329964547
UGC11455_rotmod,11.67,272.0,316.9943232930205
UGC11455_rotmod,12.19,270.0,320.3239016995141
UGC11455_rotmod,12.91,279.0,323.97946169471913
UGC11455_rotmod,14.56,287.0,327.4628754530809
UGC11455_rotmod,16.63,291.0,317.20679012278407
UGC11455_rotmod,17.77,286.0,311.0854778031273
UGC11455_rotmod,18.49,288.0,308.31840441335964
UGC11455_rotmod,20.24,289.0,304.3497317232266
UGC11455_rotmod,22.62,288.0,299.6502663105775
UGC11455_rotmod,24.89,269.0,291.30488839015385
UGC11455_rotmod,27.06,267.0,277.95413290685207
UGC11455_rotmod,29.13,272.0,265.61041131702655
UGC11455_rotmod,31.3,274.0,254.5351956017085
UGC11455_rotmod,33.46,259.0,245.1955727577478
UGC11455_rotmod,35.53,272.0,234.76416293804297
UGC11455_rotmod,37.7,274.0,224.69732196891002
UGC11455_rotmod,39.87,272.0,217.75856584759185
UGC11455_rotmod,41.93,266.0,211.25280826535774
