Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC4010_rotmod,0.87,39.3,32.75
NGC4010_rotmod,1.74,54.6,63.957868945111045
NGC4010_rotmod,2.61,65.5,84.18683982666175
NGC4010_rotmod,3.5,83.9,95.08020719371618
NGC4010_rotmod,4.37,94.3,99.52326813363797
NGC4010_rotmod,5.24,104.0,100.64390542899257
NGC4010_rotmod,6.11,115.0,101.9057628399886
NGC4010_rotmod,6.98,127.0,103.40600466123811
NGC4010_rotmod,7.85,129.0,104.68091755425151
NGC4010_rotmod,8.72,127.0,103.32310196659797
NGC4010_rotmod,9.6,124.0,99.93100469824168
NGC4010_rotmod,10.47,122.0,96.31905989989728
