Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC05750_rotmod,0.31,3.1,4.17163037672323
UGC05750_rotmod,1.47,15.7,17.317187993435887
UGC05750_rotmod,2.52,28.0,22.73033655712119
UGC05750_rotmod,3.35,36.0,26.325022317179524
UGC05750_rotmod,4.09,43.6,27.21512998315459
UGC05750_rotmod,4.82,49.8,29.831568849123578
UGC05750_rotmod,6.6,61.5,38.68858875689316
UGC05750_rotmod,7.86,68.1,42.880412777863974
UGC05750_rotmod,9.43,73.4,47.473245096580456
UGC05750_rotmod,11.43,77.6,45.69966848895077
UGC05750_rotmod,22.85,78.9,45.51346174485083
