Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC1090_rotmod,0.35,20.9,48.76689450846752
NGC1090_rotmod,1.07,61.7,98.2917982336268
NGC1090_rotmod,1.6,81.3,114.28088772843864
NGC1090_rotmod,3.7,124.0,144.2299608264524
NGC1090_rotmod,5.09,156.0,154.52556325734588
NGC1090_rotmod,6.61,166.0,166.54641455161982
NGC1090_rotmod,8.17,165.0,171.96749983645165
NGC1090_rotmod,9.11,174.0,169.32463524248325
NGC1090_rotmod,10.37,164.0,167.16574589311054
NGC1090_rotmod,11.28,176.0,169.28614828154133
NGC1090_rotmod,13.62,174.0,167.92996754599818
NGC1090_rotmod,15.04,168.0,163.23701847313924
NGC1090_rotmod,16.37,166.0,157.67489368951544
NGC1090_rotmod,17.59,167.0,151.53043027722188
NGC1090_rotmod,18.8,167.0,146.28146704213765
NGC1090_rotmod,20.13,165.0,141.09410831072998
NGC1090_rotmod,21.35,165.0,136.81627278946024
NGC1090_rotmod,22.57,165.0,133.22192649860608
NGC1090_rotmod,23.89,165.0,129.75872725947954
NGC1090_rotmod,25.11,163.0,127.03717920357016
NGC1090_rotmod,26.33,162.0,124.66476727608327
NGC1090_rotmod,27.65,162.0,122.35681019052434
NGC1090_rotmod,28.87,162.0,120.51073188724729
NGC1090_rotmod,30.09,160.0,118.391768717255
