Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC3769_rotmod,1.74,87.5,126.78499674646051
NGC3769_rotmod,3.5,106.0,137.9797380052593
NGC3769_rotmod,5.24,116.0,127.15870477478134
NGC3769_rotmod,6.98,125.0,115.2906943339314
NGC3769_rotmod,8.72,126.0,105.31830800008136
NGC3769_rotmod,10.47,123.0,97.0566401643906
NGC3769_rotmod,12.31,118.0,90.09078532236246
NGC3769_rotmod,14.52,115.0,83.48831055902377
NGC3769_rotmod,17.07,122.0,78.40565285743114
NGC3769_rotmod,31.82,121.0,60.845069644137965
NGC3769_rotmod,34.61,118.0,58.41294120312724
NGC3769_rotmod,37.16,113.0,56.41123469664531
