Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC05986_rotmod,0.63,29.5,32.52584971987665
UGC05986_rotmod,1.26,50.8,44.27149421467497
UGC05986_rotmod,1.88,68.2,53.76221070603403
UGC05986_rotmod,2.51,84.3,66.168567311073
UGC05986_rotmod,3.13,95.3,70.93660973009635
UGC05986_rotmod,3.77,106.0,72.34067458905814
UGC05986_rotmod,4.39,112.0,74.73848272476502
UGC05986_rotmod,5.02,115.0,75.43128064669192
UGC05986_rotmod,5.65,116.0,72.3922930980916
UGC05986_rotmod,6.28,116.0,69.05063649235971
UGC05986_rotmod,6.9,116.0,66.21693212464619
UGC05986_rotmod,7.54,114.0,61.961233041313825
UGC05986_rotmod,8.16,112.0,58.585056968479606
UGC05986_rotmod,8.79,109.0,56.43963589535283
UGC05986_rotmod,9.41,107.0,55.94092062167014
