Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC07089_rotmod,0.87,20.9,19.68121185293223
UGC07089_rotmod,1.74,36.4,34.07028323921009
UGC07089_rotmod,2.61,43.4,44.03643264389158
UGC07089_rotmod,3.5,51.2,48.7767905873275
UGC07089_rotmod,4.37,59.7,52.13794971035973
UGC07089_rotmod,5.24,64.5,53.93761303580276
UGC07089_rotmod,6.11,67.9,54.11803119109194
UGC07089_rotmod,6.55,72.8,54.11797945230401
UGC07089_rotmod,6.98,70.3,54.096145888593576
UGC07089_rotmod,7.85,73.7,53.82706010920529
UGC07089_rotmod,8.72,77.6,53.22826692651189
UGC07089_rotmod,9.16,79.1,52.60427739262274
