Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F574-1_rotmod,0.47,15.3,12.992405473968244
F574-1_rotmod,1.41,41.0,32.891774047624736
F574-1_rotmod,2.35,60.7,41.172943785937875
F574-1_rotmod,3.29,74.9,42.566806316659466
F574-1_rotmod,4.22,83.0,44.701026833843535
F574-1_rotmod,5.17,86.8,47.33704785894448
F574-1_rotmod,6.11,89.4,49.95313904050475
F574-1_rotmod,7.05,92.5,51.06229626642343
F574-1_rotmod,7.99,94.7,52.661821085108706
F574-1_rotmod,8.92,96.3,52.706065115885856
F574-1_rotmod,9.87,97.8,54.40236851461524
F574-1_rotmod,10.79,98.8,56.197054193258204
F574-1_rotmod,11.8,99.5,57.813621232370494
F574-1_rotmod,12.6,99.7,58.48278806623364
