Galaxy,R_kpc,V_obs_kms,V_baryon_kms
CamB_rotmod,0.16,1.99,4.185940754478018
CamB_rotmod,0.41,4.84,10.375861410022784
CamB_rotmod,0.57,6.79,13.029570215475259
CamB_rotmod,0.73,8.87,15.299388876683931
CamB_rotmod,0.9,10.9,16.715648357153245
CamB_rotmod,1.06,12.9,17.420998823259247
CamB_rotmod,1.22,14.7,17.405795012006777
CamB_rotmod,1.47,16.8,17.835257217096704
CamB_rotmod,1.79,20.1,16.433386747715762
