Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC02916_rotmod,0.37,183.0,124.12410120520511
UGC02916_rotmod,0.74,196.0,192.62107906457175
UGC02916_rotmod,1.11,205.0,220.97691350003058
UGC02916_rotmod,1.48,211.0,243.1157841440987
UGC02916_rotmod,1.84,214.0,262.7393320384293
UGC02916_rotmod,2.21,214.0,278.61125497725317
UGC02916_rotmod,2.6,213.0,286.3014568597233
UGC02916_rotmod,2.96,211.0,282.7116874131666
UGC02916_rotmod,3.17,210.0,283.0440794293355
UGC02916_rotmod,3.33,209.0,281.8735193309226
UGC02916_rotmod,3.7,207.0,278.62633992499707
UGC02916_rotmod,4.07,206.0,274.32471871852886
UGC02916_rotmod,4.44,205.0,269.0980980980728
UGC02916_rotmod,4.81,205.0,263.41866505621806
UGC02916_rotmod,5.18,206.0,257.67736998036906
UGC02916_rotmod,5.55,207.0,251.31205641592288
UGC02916_rotmod,5.92,208.0,245.4593273843958
UGC02916_rotmod,6.28,210.0,240.53304575463224
UGC02916_rotmod,6.34,210.0,239.81681967701934
UGC02916_rotmod,6.65,212.0,236.3231258256373
UGC02916_rotmod,7.03,214.0,232.46577662098994
UGC02916_rotmod,7.39,215.0,229.1072698541013
UGC02916_rotmod,7.77,216.0,225.66625268302747
UGC02916_rotmod,8.14,217.0,222.9011628502642
UGC02916_rotmod,8.51,218.0,220.13133375328465
UGC02916_rotmod,8.88,218.0,217.43712884417877
UGC02916_rotmod,9.25,218.0,215.25732275581242
UGC02916_rotmod,9.52,218.0,213.55980918702846
UGC02916_rotmod,9.62,218.0,212.94787531224628
UGC02916_rotmod,9.99,217.0,210.78322015758275
UGC02916_rotmod,10.4,217.0,208.46221576103426
UGC02916_rotmod,10.71,216.0,206.99120778429213
UGC02916_rotmod,11.12,215.0,204.97259743682812
UGC02916_rotmod,12.67,212.0,198.48069049658204
UGC02916_rotmod,12.98,211.0,197.3874365302919
UGC02916_rotmod,15.86,209.0,188.76020078395763
UGC02916_rotmod,19.05,215.0,182.43813581595268
UGC02916_rotmod,22.14,215.0,177.41935322844574
UGC02916_rotmod,25.34,210.0,170.68734985346748
UGC02916_rotmod,28.53,196.0,162.807801410129
UGC02916_rotmod,31.72,185.0,154.53049246022613
UGC02916_rotmod,34.91,182.0,148.11546576910865
UGC02916_rotmod,38.0,181.0,142.6622735694339
