Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F568-1_rotmod,0.44,15.7,12.435191996909417
F568-1_rotmod,1.32,44.5,28.995382390994603
F568-1_rotmod,2.2,69.4,36.38259473979282
F568-1_rotmod,3.08,90.0,40.30488059776384
F568-1_rotmod,3.96,105.0,41.270592435776834
F568-1_rotmod,4.84,113.0,43.26330546779799
F568-1_rotmod,5.53,117.0,45.29266717692832
F568-1_rotmod,7.48,124.0,54.511401559673736
F568-1_rotmod,8.37,127.0,58.26059474464709
F568-1_rotmod,9.24,130.0,60.92511140736634
F568-1_rotmod,10.13,133.0,63.04616800409046
F568-1_rotmod,13.23,142.0,68.87459400969271
