R,DS_total
0.3112966226460602,50953.580434367745
0.428345379206537,27420.960686187173
0.5895829195295708,15666.190638812326
0.811265298610661,10296.547900009638
1.1163703463530517,8552.89726762454
1.5370364281999067,9060.718144779052
2.1149463046353474,11135.915759630612
2.9109005231195644,14460.830402841202
4.005301985869169,18938.41542014446
5.510244649299509,24656.607521910177
7.581800315919476,31752.133013695835
10.43131315645296,40077.975306286455
14.35440837036096,48855.229137495844
19.75278202115557,56441.64765714861
27.177399776887423,60594.4675014929
