theta_arcmin,gammat_model
0.5957667035345988,0.09274482075965322
0.8196403361824606,0.09830041385571645
1.128860722532457,0.08166917318973586
1.55366647236694,0.0801557893788254
2.1380926360524186,0.06437178184574821
2.9428183977757425,0.051039800695891945
4.049240168755257,0.035847681794663376
5.5743318162184075,0.02215820749767545
7.671140572991547,0.011483741133926301
10.554752576757757,0.005532584467378176
14.52231509958506,0.0026370288561856545
19.982989874278395,0.001512562580297873
27.49277379822195,0.0010079989593908217
37.84034589072363,0.0008069190954124683
52.062781547770896,0.0006186232824396115
