R,DS_total
0.3112966226460602,1420775.664868878
0.428345379206537,1267102.0044934985
0.5895829195295708,1330419.684926879
0.811265298610661,1196951.7680287156
1.1163703463530517,1069561.345680756
1.5370364281999067,924630.9772318014
2.1149463046353474,745818.7450369132
2.9109005231195644,561878.9558476318
4.005301985869169,417755.8766989283
5.510244649299509,305146.94407996896
7.581800315919476,229802.35292848502
10.43131315645296,182489.71347146874
14.35440837036096,148963.67584366142
19.75278202115557,122946.78698393189
27.177399776887423,100737.64598778292
