R,DS_model
0.3112966226460602,237071306.24606213
0.428345379206537,163951936.7461379
0.5895829195295708,133513733.78132856
0.811265298610661,83955277.97801293
1.1163703463530517,42544993.93979617
1.5370364281999067,9681171.567677056
2.1149463046353474,-13483355.984261272
2.9109005231195644,-24212549.03398682
4.005301985869169,-23086056.368425053
5.510244649299509,-19143719.303942595
7.581800315919476,-15365537.713197403
10.43131315645296,-12350957.938746983
14.35440837036096,-10197723.15665715
19.75278202115557,-8467076.55374081
27.177399776887423,-6954218.990048297
