Galaxy,lam_kpc,A,chi2,nu,status
CamB_rotmod,0.3000000009667704,1.8233878590687065e-15,118080.25055927003,7,EDGE_LOW
D564-8_rotmod,199.99999999999997,149.87067768508496,565859.8806650516,4,EDGE_UP
D631-7_rotmod,199.99999999999926,576.253826232801,55823406.97394997,14,EDGE_UP
DDO064_rotmod,199.99999999999997,59.825788765569634,13451129.223249419,12,EDGE_UP
DDO154_rotmod,199.99999999999997,674.0401984966869,21648517.503851715,10,EDGE_UP
DDO161_rotmod,199.99999999999997,635.9214028279099,133353721.3293798,29,EDGE_UP
DDO168_rotmod,199.99999999999997,487.92256197119866,20629348.92853856,8,EDGE_UP
DDO170_rotmod,199.99999999999997,4787.282239988151,26444192.84413297,6,EDGE_UP
ESO079-G014_rotmod,0.41972417233430637,298.2997796945745,997353811.7716826,13,EDGE_LOW
ESO116-G012_rotmod,199.99999999999997,682.2669428449775,500246872.0901463,13,EDGE_UP
ESO444-G084_rotmod,199.99999999999997,439.483475528165,39745887.55692659,5,EDGE_UP
ESO563-G021_rotmod,0.30000000000000304,4.5709669469623515e-10,31502850685.285465,28,EDGE_LOW
F561-1_rotmod,0.30000164369824484,1.3437687603676537e-18,1009865.7122717625,4,EDGE_LOW
F563-1_rotmod,199.99999999999997,8956.400935598247,943341104.586195,15,EDGE_UP
F563-V1_rotmod,4.546796676137549,55.909282979322356,63139.39272646926,4,OK
F563-V2_rotmod,199.99999999999997,1023.6758888710576,644194904.3960283,8,EDGE_UP
F565-V2_rotmod,199.99999999999997,4495.69379712048,87055976.84630367,5,EDGE_UP
F568-1_rotmod,199.99999999999997,2912.096851550359,1259770411.4336913,10,EDGE_UP
F568-3_rotmod,199.99999999999997,2445.2405872174722,476965148.5630601,16,EDGE_UP
F568-V1_rotmod,199.99999999999997,2549.7710853545,1050118814.9361255,13,EDGE_UP
F571-8_rotmod,0.3000000000025742,3.76931203213228e-11,1082121449.358579,11,EDGE_LOW
F571-V1_rotmod,199.99999999999997,7915.217955647246,91850113.0364476,5,EDGE_UP
F574-1_rotmod,199.99999999999997,1836.5467797939111,371207628.6476236,12,EDGE_UP
F579-V1_rotmod,199.99999999999997,3098.621260174162,529532654.19689757,12,EDGE_UP
F583-1_rotmod,199.99999999999997,530.3796072988495,278270026.0526582,23,EDGE_UP
F583-4_rotmod,199.99999999999997,210.25006335714914,44084535.400700904,10,EDGE_UP
IC2574_rotmod,199.99999999999997,1535.5914358508624,88611063.05614391,32,EDGE_UP
IC4202_rotmod,0.30000000020010614,1.0300270990133558e-12,4204204501.5173683,30,EDGE_LOW
KK98-251_rotmod,199.99999999999997,77.92333199104533,2200302.5775340917,13,EDGE_UP
NGC0024_rotmod,199.99999999999997,1206.3030241461806,690624580.9763014,27,EDGE_UP
NGC0055_rotmod,199.99999999999997,4147.128263465434,178787704.99242452,19,EDGE_UP
NGC0100_rotmod,0.30000000000000004,1.246836230597254e-15,267530218.028619,19,EDGE_LOW
