R,DS_model
0.2050439475826448,146820.10799317955
0.2820941303562758,77707.65558557471
0.3885179508116123,41663.89170836999
0.5347225765234775,23611.09139627571
0.7358634710409107,15463.45692388201
1.012824479311858,12783.853250852237
1.3936196567983847,13534.500191384159
1.918507687576028,16749.12782489935
2.6401625606393626,21936.417656371286
3.6326100825317753,28932.417130725324
4.998118891827329,37869.952788797644
6.877509441223929,49127.132120038565
9.462138176133829,62525.80647572851
13.023443326547184,77197.15501333472
17.918353253637093,90828.46161410038
