R,DS2
0.3112966226460602,778.4540422029554
0.428345379206537,1274.2439740156676
0.5895829195295708,2049.2961685483465
0.811265298610661,3200.6040470055887
1.1163703463530517,4855.583183832648
1.5370364281999067,7136.333553558501
2.1149463046353474,10133.080187960672
2.9109005231195644,13938.509776094377
4.005301985869169,18666.21429899171
5.510244649299509,24514.704953466407
7.581800315919476,31678.17995473684
10.43131315645296,40039.42808008457
14.35440837036096,48835.14434149309
19.75278202115557,56431.18243290884
27.177399776887423,60589.012950565055
