file,bin,mode,A1h,b0,b2,lam,chi2,nu,chi2/nu,AIC,BIC,ΔAIC_vs_GR,ΔBIC_vs_GR
results/tables\bin_A_fit_A1.json,A,A1,1.0,2.9999999999999925,49.9999999999943,0.050000000000001085,315.72262247699615,12,26.31021853974968,321.72262247699615,323.8467730803028,96.21367813536838,96.21367813536841
results/tables\bin_A_fit_GR.json,A,GRkernel,847.7439407642148,2.9999999999999996,6.578947441672091e-17,0.0,219.50894434162777,12,18.29241202846898,225.50894434162777,227.63309494493438,,
results/tables\bin_A_fit_freeA.json,A,freeA,847.1218789512125,2.99957108043711,49.90204382316187,0.17765324836054003,219.43694195927952,11,19.948812905389048,227.43694195927952,230.26914276368836,1.927997617651755,2.6360478187539798
results/tables\bin_B_fit_A1.json,B,A1,1.0,2.9999999999999996,49.99999999999999,0.05000000000000001,4371416194046.968,12,364284682837.2473,4371416194052.968,4371416194055.092,4371416193945.1533,4371416193945.1533
results/tables\bin_B_fit_GR.json,B,GRkernel,3.5821929058415147e-06,0.5000000000000001,0.03284840957525602,0.0,101.81455899878483,12,8.484546583232069,107.81455899878483,109.93870960209146,,
results/tables\bin_B_fit_freeA.json,B,freeA,1.784667557445058e-05,0.5000000000000001,0.2994756302334805,0.12345490779758075,48.648930983766085,11,4.42263008943328,56.648930983766085,59.48113178817493,-51.16562801501875,-50.45757781391654
results/tables\bin_CMASS_fit_A1.json,CMASS,A1,1.0,0.5000000000000001,1.692307338621529e-24,4.999999999999999,4571847.396242069,12,380987.28302017244,4571853.396242069,4571855.520392672,4571833.933021532,4571833.933021532
results/tables\bin_CMASS_fit_GR.json,CMASS,GRkernel,1.6015773979316327e-20,0.5000000000000001,0.03409449785445131,0.0,13.4632205365996,12,1.1219350447166334,19.4632205365996,21.58737113990623,,
results/tables\bin_CMASS_fit_freeA.json,CMASS,freeA,0.0017234553120373001,0.5000000000000001,10.790978987125825,4.999999999998324,12.923516113168668,11,1.1748651011971516,20.923516113168667,23.75571691757751,1.4602955765690666,2.168345777671277
results/tables\bin_C_fit_A1.json,C,A1,1.0,0.5000000000000001,1.3243142344328576e-17,4.999999999999999,114783572.24661969,12,9565297.687218307,114783578.24661969,114783580.37077029,114783558.78339915,114783558.78339915
results/tables\bin_C_fit_GR.json,C,GRkernel,1.4525917223708772e-22,0.5000000000000001,0.03409449738442829,0.0,13.463220536598744,12,1.121935044716562,19.463220536598744,21.587371139905372,,
results/tables\bin_C_fit_freeA.json,C,freeA,0.000385233022993711,0.5000000000000001,8.92467099330809,4.999999999999999,14.071002156741763,11,1.2791820142492512,22.071002156741763,24.903202961150605,2.607781620143019,3.315831821245233
results/tables\bin_LOWZ_fit_A1.json,LOWZ,A1,1.0,0.500000000000898,1.6442308798534377e-19,4.999999999999995,19600945.502135772,12,1633412.125177981,19600951.502135772,19600953.626286376,19600832.69103514,19600832.69103514
results/tables\bin_LOWZ_fit_GR.json,LOWZ,GRkernel,7.78940759363618e-05,0.5000000000000001,0.0038927340276884935,0.0,112.81110063171684,12,9.40092505264307,118.81110063171684,120.93525123502347,,
results/tables\bin_LOWZ_fit_freeA.json,LOWZ,freeA,0.000969558555401456,0.5000000000000001,4.4772630232481525,4.999999999999999,64.50503210279224,11,5.864093827526568,72.50503210279224,75.33723290720108,-46.3060685289246,-45.59801832782239
