theta_arcmin,R_phys_Mpc,R_com_Mpc,gammat,gammat_err,weight,z_l_eff,n_pairs_D,n_pairs_R
0.5976563267269329,0.15941900995378744,0.20504394758264485,0.010355473334506713,0.0026057924718051128,7135077.417850737,0.2861950882901809,26066.0,2638228.0
0.8222400306256611,0.21932452776761965,0.2820941303562758,0.008532077017594085,0.0019456719977601102,13459814.263131838,0.2861950882901809,47219.0,4980411.0
1.132441186814124,0.3020676679212742,0.38851795081161233,0.0048393630518101804,0.0014423195559003362,25434654.161719237,0.2861950882901809,86103.0,9419957.0
1.5585943143928844,0.41573986822972364,0.5347225765234775,0.0045951646691462025,0.0010707873751893639,48026775.16848645,0.2861950882901809,157294.0,17802536.0
2.144874131910568,0.5721243050454653,0.7358634710409107,0.0028040478675228605,0.0007936383985865918,90761558.13652381,0.2861950882901809,289995.0,33654322.0
2.952152282771786,0.7874578969651241,1.012824479311858,0.0032206070744561634,0.000585110639416733,171503016.56946108,0.2861950882901809,536073.0,63616025.0
4.062083347282714,1.0835212087856827,1.3936196567983847,0.002206996972485625,0.0004287368621470831,323973731.8980766,0.2861950882901809,1001709.0,120202885.0
5.592012204563705,1.4916148452459252,1.9185076875760274,0.0019840435888893873,0.0003139220817865134,612031043.7083067,0.2861950882901809,1874618.0,227132871.0
7.6954715150404684,2.052692149640452,2.6401625606393626,0.001078701060486971,0.00022940115653630468,1156830836.4833865,0.2861950882901809,3516643.0,429402842.0
10.588229615907577,2.824307226488347,3.6326100825317753,0.0007595708222376367,0.00016769105040810792,2187524458.9623322,0.2861950882901809,6594233.0,812077053.0
14.568376256168246,3.885972615920684,4.998118891827329,0.0006572648149261901,0.00012230339628789636,4136674657.438953,0.2861950882901809,12417019.0,1535758159.0
20.046370927456735,5.347174393556914,6.877509441223929,0.00036679658259482375,8.904279025531043e-05,7815181706.038636,0.2861950882901809,23453256.0,2901544316.0
27.579974010456862,7.356689713931685,9.462138176133829,0.00025048493026141665,6.494725050776415e-05,14772382734.646963,0.2861950882901809,44089544.0,5484459693.0
37.96036601735512,10.12555828047832,13.023443326547184,0.0002057213075334199,4.7267617186163464e-05,27912656925.3873,0.2861950882901809,83309905.0,10361920576.0
52.227911688288,13.93128726487136,17.918353253637093,0.00015494256773362455,3.449933257864175e-05,52573329608.192024,0.2861950882901809,156404539.0,19515477724.0
