R_Mpc,DeltaSigma_data,DeltaSigma_err,DeltaSigma_1h_unscaled,A1h_best,DeltaSigma_1h_scaled,DeltaSigma_2h,DeltaSigma_total
0.3729327685968546,88219187.90761273,28236647.50493519,180481.58988561959,152.00630657069237,27434339.88251946,54943430.92275505,82377770.80527452
0.5134009032980582,58772895.83006285,21032598.529829208,107116.34334321646,152.00630657069237,16282359.724960504,43537406.24948389,59819765.9744444
0.7069197598840422,32525015.853151374,15635767.797306232,63546.47471037142,152.00630657069237,9659464.916311467,35337284.34623502,44996749.26254649
0.9728563994496756,37503647.41473507,11566468.954341924,37747.887421316016,152.00630657069237,5737916.947760545,27961056.115657687,33698973.06341823
1.3390545316161655,25029761.40737407,8515090.996833151,22410.13473617653,152.00630657069237,3406481.8109977716,19982606.818785284,23389088.629783057
1.842641741631441,17121462.423590064,6241716.160481601,13316.414936173034,152.00630657069237,2024179.0512104651,14424486.744381232,16448665.795591697
2.5355260762557634,10768138.69246985,4571355.940486948,7911.069793484808,152.00630657069237,1202532.5003305958,9647612.074443193,10850144.574773788
3.489115318765132,6836479.32031697,3343082.532660387,4698.98924574396,152.00630657069237,714275.999860943,6532503.573434053,7246779.573294996
4.801170509768673,7363248.112640038,2439481.412241122,2791.3664108633484,152.00630657069237,424305.2984008274,4643844.718331635,5068150.016732463
6.606771462842435,5109450.067151636,1779023.9642109068,1658.1795402417756,152.00630657069237,252053.74754324107,3476711.730394177,3728765.477937418
9.090728684677156,2122752.0531786387,1297049.159540164,985.0727809502253,152.00630657069237,149737.27513556444,2833764.8183558276,2983502.093491392
12.508543950717383,3073441.1848949622,944277.7841295822,585.3787867061426,152.00630657069237,88981.26731203386,2429851.848863354,2518833.116175388
17.21084538742346,3610861.5616820473,688828.8814047428,347.776478218213,152.00630657069237,52864.21796611341,2090311.8347461815,2143176.0527122947
23.680635513352016,1679252.789176668,502457.9910858314,316.53153720140267,152.00630657069237,48114.789883128935,1772863.7108842824,1820978.5007674112
32.58423786348785,720381.9883276712,367411.7995561591,316.53153720140267,152.00630657069237,48114.789883128935,1521845.5967225453,1569960.3866056742
