R,DeltaSigma
0.3112966226460602,50175.12639216479
0.428345379206537,26146.716712171507
0.5895829195295708,13616.89447026398
0.811265298610661,7095.94385300405
1.1163703463530517,3697.3140837918922
1.5370364281999067,1924.3845912205504
2.1149463046353474,1002.8355716699407
2.9109005231195644,522.3206267468253
4.005301985869169,272.20112115275157
5.510244649299509,141.90256844377097
7.581800315919476,73.95305895899725
10.43131315645296,38.54722620188223
14.35440837036096,20.084796002755507
19.75278202115557,10.465224239769828
27.177399776887423,5.454550927846263
