theta_arcmin,R_phys_Mpc,R_com_Mpc,gammat,gammat_err,weight,z_l_eff,n_pairs_D,n_pairs_R,SigmaCrit_eff_Msun_pc2,DeltaSigma_phys_Msun_per_pc2,DeltaSigma_phys_err_Msun_per_pc2,DeltaSigma_comoving_Msun_per_pc2,DeltaSigma_comoving_err_Msun_per_pc2
0.5981477772059519,0.2140833039098416,0.3112966226460602,0.0030629964597154,0.0017462888912489,26273227.77879884,0.4540910802514458,46521.0,7761575.0,5552.3078500414795,17.006699287927077,9.695933519321498,34.77699937388208,19.827214453660527
0.8230536980163199,0.2945794696247406,0.428345379206537,0.0029573375254256,0.0013038275081808,49659298.776927456,0.4540910802514458,84234.0,14670699.0,5552.3078500414795,16.420048357642802,7.239251708772277,33.57735688654376,14.803545819268427
1.132867134238636,0.4054649172510007,0.5895829195295708,0.0031614960785704,0.0009661846280349,93872945.57125628,0.4540910802514458,154119.0,27740015.0,5552.3078500414795,17.553599494921787,5.3645544948275825,35.895355607165556,10.969977486472922
1.5588236421055537,0.557919176885656,0.811265298610661,0.0021141838016239,0.0007176060581122,177397803.4637922,0.4540910802514458,281144.0,52447442.0,5552.3078500414795,11.738599318186917,3.9843697496936903,24.004261745760424,8.147637701148627
2.145074480839915,0.7677444429134421,1.1163703463530517,0.0022109665528132,0.0005292215508549,335092315.64193004,0.4540910802514458,519208.0,99098281.0,5552.3078500414795,12.27596694736388,2.938400971222787,25.103124810664394,6.008736146053477
2.9533726231834705,1.0570427458602645,1.5370364281999067,0.0015976924013092,0.000388261825387,633100442.1556927,0.4540910802514458,969058.0,187282882.0,5552.3078500414795,8.870880061740692,2.1557491809676743,18.14006263825354,4.4082915001607965
4.063810330720868,1.4544799382646818,2.1149463046353474,0.001263922715104,0.0002844149373312,1195968769.092374,0.4540910802514458,1812274.0,353843687.0,5552.3078500414795,7.017688012917679,1.5791592892130772,14.35047021761536,3.229222830511821
5.5932141594458304,2.001869458284692,2.9109005231195644,0.0004545025403845,0.0002072159002398,2259070376.153486,0.4540910802514458,3411368.0,668328965.0,5552.3078500414795,2.523538022840654,1.1505264695548536,5.160382902906853,2.3527115775927196
7.696076043234736,2.7545055741464,4.005301985869169,0.0002678708655704,0.0001510413484666,4269868850.84123,0.4540910802514458,6421977.0,1263188205.0,5552.3078500414795,1.4873015097039377,0.8386280647719538,3.041382857193582,1.7149105296521683
10.5877813926267,3.789476962025419,5.510244649299509,0.000258661594073,0.0001100708186607,8070698188.978315,0.4540910802514458,12078166.0,2388134749.0,5552.3078500414795,1.4361687992757604,0.6111470705102968,2.936821577639002,1.2497346444865058
14.568217822725597,5.214116515045541,7.581800315919476,0.0001736346305127,8.0336811444013e-05,15261211741.518316,0.4540910802514458,22703771.0,4515967065.0,5552.3078500414795,0.9640729220347161,0.44605470882789555,1.9714327182687905,0.9121372740821635
20.04347726241066,7.173768753638971,10.43131315645296,0.0001443095895321,5.862116293139261e-05,28856331700.04913,0.4540910802514458,42719015.0,8539581038.0,5552.3078500414795,0.8012512667953425,0.3254827431225318,1.6384787154697957,0.6655796614112651
27.581595286371428,9.87173951158462,14.35440837036096,3.936346579500535e-05,4.283294615286057e-05,54470717329.76509,0.4540910802514458,80080382.0,16119986297.0,5552.3078500414795,0.2185580801384475,0.2378217031649317,0.4469294180751112,0.4863216008019688
37.95441967586482,13.5842811288959,19.75278202115557,3.442027864219799e-05,3.128726133266304e-05,102609816707.37186,0.4540910802514458,150398122.0,30367776602.0,5552.3078500414795,0.19111198330569099,0.17371650670364425,0.39080489466180746,0.35523288455828206
52.22061559358997,18.69030086628949,27.177399776887423,5.6488086687148106e-05,2.2875276388729463e-05,192717246315.26135,0.4540910802514458,281402997.0,57033971926.0,5552.3078500414795,0.313639247146876,0.12701057666501112,0.6413608964906466,0.2597239282222812
