theta_arcmin,R_phys_Mpc,R_com_Mpc,gammat,gammat_err,weight,z_l_eff,n_pairs_D,n_pairs_R,SigmaCrit_eff_Msun_pc2,DeltaSigma_phys_Msun_per_pc2,DeltaSigma_phys_err_Msun_per_pc2,DeltaSigma_comoving_Msun_per_pc2,DeltaSigma_comoving_err_Msun_per_pc2
0.5976917603510409,0.238993790997685,0.3729327685968546,0.0040590758486402,0.0012992036840543,26523756.202694587,0.5604286916410598,97255.0,7761575.0,8930.724499730955,36.250488127717254,11.602830171324452,88.21918790761272,28.23664750493519
0.8228171818007923,0.3290127296737466,0.5134009032980582,0.0027042148956108,0.000967736325299,50112745.26975386,0.5604286916410598,175906.0,14670699.0,8930.724499730955,24.150598220768757,8.642586509627385,58.77289583006285,21.032598529829208
1.1329659158184042,0.4530291987521673,0.7069197598840422,0.0014965169081405,0.0007194213520471,94685941.395968,0.5604286916410598,320944.0,27740015.0,8930.724499730955,13.364980215791983,6.424953894356604,32.52501585315137,15.635767797306233
1.5591771571685813,0.6234545703120528,0.9728563994496756,0.0017255900112852,0.0005321877915696,178896641.09451157,0.5604286916410598,588810.0,52447442.0,8930.724499730955,15.41076899027575,4.7528225486283375,37.50364741473507,11.566468954341923
2.146075452739004,0.8581324726911544,1.3390545316161655,0.0011516508192333,0.0003917900519603,337867707.7882653,0.5604286916410598,1091259.0,99098281.0,8930.724499730955,10.285076186462058,3.498969015792715,25.029761407374068,8.515090996833152
2.953164427989857,1.1808561015970458,1.842641741631441,0.0007877800313666,0.0002871892149768,638274171.2640296,0.5604286916410598,2035813.0,187282882.0,8930.724499730955,7.035446426524516,2.564807758251808,17.121462423590064,6.241716160481601
4.063636053316385,1.6248907046109364,2.5355260762557634,0.0004954556116203,0.0002103338393117,1205615258.9185116,0.5604286916410598,3804765.0,353843687.0,8930.724499730955,4.424777569226598,1.878433571863473,10.76813869246985,4.571355940486948
5.591934130076076,2.235997926374787,3.489115318765132,0.0003145550163972,0.0001538194341864,2276939544.512661,0.5604286916410598,7125555.0,668328965.0,8930.724499730955,2.8092041914517463,1.3737189894232358,6.83647932031697,3.343082532660387
7.694738288957495,3.07682788421393,4.801170509768673,0.0003387923114058,0.0001122436095649,4303331568.271976,0.5604286916410598,13381615.0,1263188205.0,8930.724499730955,3.025660795792257,1.0024167538794881,7.363248112640038,2.4394814122411224
10.588538198776618,4.233946413721908,6.606771462842435,0.0002350922272049,8.185513127646349e-05,8133500563.365547,0.5604286916410598,25181199.0,2388134749.0,8930.724499730955,2.0995439131951166,0.731025626319406,5.109450067151636,1.7790239642109067
14.569525898358451,5.825789242004188,9.090728684677156,9.767049318944446e-05,5.967886400747781e-05,15379655423.840467,0.5604286916410598,47398124.0,4515967065.0,8930.724499730955,0.8722682664277771,0.532975492907694,2.1227520531786386,1.297049159540164
20.047188884639336,8.016094562810489,12.508543950717383,0.0001414128964652,4.3447409105396206e-05,29081041546.398827,0.5604286916410598,89486635.0,8539581038.0,8930.724499730955,1.2629196190396788,0.3880168409473957,3.0734411848949623,0.9442777841295822
27.58347172183969,11.029562247617536,17.21084538742346,0.0001661402842787,3.169388363996218e-05,54894616091.552414,0.5604286916410598,168253319.0,16119986297.0,8930.724499730955,1.4837531072000518,0.2830493431150324,3.6108615616820465,0.6888288814047429
37.95247271903614,15.175724235400812,23.680635513352016,7.726453396337049e-05,2.311872445151782e-05,103409093990.8158,0.5604286916410598,316483467.0,30367776602.0,8930.724499730955,0.6900282664269674,0.20646695886169927,1.679252789176668,0.5024579910858314
52.22209504839246,20.881593653100484,32.58423786348785,3.3145681795195125e-05,1.6905079240194933e-05,194211456246.37567,0.5604286916410598,592163007.0,57033971926.0,8930.724499730955,0.2960149524686354,0.15097460534030205,0.7203819883276712,0.3674117995561591
