k_1perMpc,P_Mpc3
2.306462309606175883e-04,3.307570939610013284e+03
2.321059601681543230e-04,3.327662379179595519e+03
2.335749278069910767e-04,3.347874565644976883e+03
2.350531923459262830e-04,3.368208202051665921e+03
2.365408126237996940e-04,3.388663995306372726e+03
2.380378478518342027e-04,3.409242656196398912e+03
2.395443576159926276e-04,3.429944899408723359e+03
2.410604018793492426e-04,3.450771443549248033e+03
2.425860409844769457e-04,3.471723011162320745e+03
2.441213356558483605e-04,3.492800328750147401e+03
2.456663470022533362e-04,3.514004126792212901e+03
2.472211365192313547e-04,3.535335139764975793e+03
2.487857660915184128e-04,3.556794106161666150e+03
2.503602979955112237e-04,3.578381768511778773e+03
2.519447949017452693e-04,3.600098872904286509e+03
2.535393198773896041e-04,3.621946166312010519e+03
2.551439363887567286e-04,3.643924398460703742e+03
2.567587083038294312e-04,3.666034323068311551e+03
2.583836998948018868e-04,3.688276697866117502e+03
2.600189758406387533e-04,3.710652284617147416e+03
2.616646012296492850e-04,3.733161849134698059e+03
2.633206415620775449e-04,3.755806161300898566e+03
2.649871627527104539e-04,3.778585995085149079e+03
2.666642311335003126e-04,3.801502128562925009e+03
2.683519134562058640e-04,3.824555343934394386e+03
2.700502768950485883e-04,3.847746427543216669e+03
2.717593890493867799e-04,3.871076169895309704e+03
2.734793179464058859e-04,3.894545365677869995e+03
2.752101320438266269e-04,3.918154813778094194e+03
2.769519002326291629e-04,3.941905317302403091e+03
2.787046918397956372e-04,3.965797683601518202e+03
2.804685766310695250e-04,3.989832724300260452e+03
2.822436248137320585e-04,4.014011255303138114e+03
2.840299070393974084e-04,4.038334096811023755e+03
2.858274944068238572e-04,4.062802073340357765e+03
2.876364584647448145e-04,4.087416013742583800e+03
2.894568712147155515e-04,4.112176751223506471e+03
2.912888051139798863e-04,4.137085123362834565e+03
2.931323330783538366e-04,4.162141972133531453e+03
2.949875284851277029e-04,4.187348143921697556e+03
2.968544651759871269e-04,4.212704489545922115e+03
2.987332174599516580e-04,4.238211864277135646e+03
3.006238601163329998e-04,4.263871127858352338e+03
3.025264683977107105e-04,4.289683144524476120e+03
3.044411180329283963e-04,4.315648783022146745e+03
3.063678852301069257e-04,4.341768916516012723e+03
3.083068466796785694e-04,4.368044418972770472e+03
3.102580795574390294e-04,4.394476164312804030e+03
3.122216615276190380e-04,4.421065030574597586e+03
3.141976707459761230e-04,4.447811900194775262e+03
3.161861858629052375e-04,4.474717660024931320e+03
3.181872860265689607e-04,4.501783201348923285e+03
3.202010508860481889e-04,4.529009419899864952e+03
3.222275605945121258e-04,4.556397215877173949e+03
3.242668958124088189e-04,4.583947493963813940e+03
3.263191377106752647e-04,4.611661163343376757e+03
3.283843679739688738e-04,4.639539137717287304e+03
3.304626688039180712e-04,4.667582335321965729e+03
3.325541229223942562e-04,4.695791678945981403e+03
3.346588135748049036e-04,4.724168095947373331e+03
3.367768245334065063e-04,4.752712518270887813e+03
3.389082401006386050e-04,4.781425882484333670e+03
3.410531451124799909e-04,4.810309129963333362e+03
3.432116249418250731e-04,4.839363206831208117e+03
3.453837655018815521e-04,4.868589063875610009e+03
3.475696532495907518e-04,4.897987656565032012e+03
3.497693751890680104e-04,4.927559945066092041e+03
3.519830188750667057e-04,4.957306894261088019e+03
3.542106724164619056e-04,4.987229473765473813e+03
3.564524244797585210e-04,5.017328657945183295e+03
3.587083642926194079e-04,5.047605425934254527e+03
3.609785816474178101e-04,5.078060761652366637e+03
3.632631669048109438e-04,5.108695653822232089e+03
3.655622109973362421e-04,5.139511095987095359e+03
3.678758054330312889e-04,5.170508086528460808e+03
3.702040422990755461e-04,5.201687628683462208e+03
3.725470142654563658e-04,5.233050730562441458e+03
3.749048145886566875e-04,5.264598403483577385e+03
3.772775371153675632e-04,5.296331657115542839e+03
3.796652762862228543e-04,5.328251504277366621e+03
3.820681271395590280e-04,5.360358962492347928e+03
3.844861853151973420e-04,5.392655054002204452e+03
3.869195470582504248e-04,5.425140805781002200e+03
3.893683092229538456e-04,5.457817249549269036e+03
3.918325692765203447e-04,5.490685421787999985e+03
3.943124253030199765e-04,5.523746363752596153e+03
3.968079760072832371e-04,5.557001121486652664e+03
3.993193207188309177e-04,5.590450745835970338e+03
4.018465593958268889e-04,5.624096292462254496e+03
4.043897926290565266e-04,5.657938821857138464e+03
4.069491216459315917e-04,5.691979399355656824e+03
4.095246483145177164e-04,5.726219095150178873e+03
4.121164751475908921e-04,5.760658984287682870e+03
4.147247053067159672e-04,5.795300145479599450e+03
4.173494426063540925e-04,5.830143660248588276e+03
4.199907915179938570e-04,5.865190614751868452e+03
4.226488571743103957e-04,5.900442099986230460e+03
4.253237453733493259e-04,5.935899211800193370e+03
4.280155625827377882e-04,5.971563050906330318e+03
4.307244159439227015e-04,6.007434722893055550e+03
4.334504132764343881e-04,6.043515338236887146e+03
4.361936630821792006e-04,6.079806012314261352e+03
4.389542745497569784e-04,6.116307865413398758e+03
4.417323575588081013e-04,6.153022022746065886e+03
4.445280226843862400e-04,6.189949614459597797e+03
4.473413812013598916e-04,6.227091775648041221e+03
4.501725450888415078e-04,6.264449646364315413e+03
4.530216270346441626e-04,6.302024371631226131e+03
4.558887404397671131e-04,6.339817101122669555e+03
4.587739994229094419e-04,6.377828984431613208e+03
4.616775188250123760e-04,6.416061172055578027e+03
4.645994142138297955e-04,6.454514819175697085e+03
4.675398018885287745e-04,6.493191085767021832e+03
4.704987988843181484e-04,6.532091136606628424e+03
4.734765229771070055e-04,6.571216141281139244e+03
4.764730926881925060e-04,6.610567274193940648e+03
4.794886272889770291e-04,6.650145714572850011e+03
4.825232468057162735e-04,6.689952646477157941e+03
4.855770720242952765e-04,6.729989258804852398e+03
4.886502244950376639e-04,6.770256745299345312e+03
4.917428265375421671e-04,6.810756304556664873e+03
4.948550012455522635e-04,6.851489140031932038e+03
4.979868724918554146e-04,6.892456460046025313e+03
5.011385649332130961e-04,6.933659477792078178e+03
5.043102040153230829e-04,6.975099410443565830e+03
5.075019159778119829e-04,7.016777474949967655e+03
5.107138278592599726e-04,7.058694891218309749e+03
5.139460675022582744e-04,7.100852883862302406e+03
5.171987635584960165e-04,7.143252682207246835e+03
5.204720454938818958e-04,7.185895520292788206e+03
5.237660435936968483e-04,7.228782636875968819e+03
5.270808889677807644e-04,7.271915275433408169e+03
5.304167135557492354e-04,7.315294684164108730e+03
5.337736501322464053e-04,7.358922115991168539e+03
5.371518323122301307e-04,7.402798828564357791e+03
5.405513945562881494e-04,7.446926084261449432e+03
5.439724721759925212e-04,7.491305150190389213e+03
5.474152013392833424e-04,7.535937298190231559e+03
5.508797190758899735e-04,7.580823804832905807e+03
5.543661632827846840e-04,7.625965951411641072e+03
5.578746727296703426e-04,7.671365020394610838e+03
5.614053870645060529e-04,7.717022290405161584e+03
5.649584468190635813e-04,7.762939043274683172e+03
5.685339934145211896e-04,7.809116565248581537e+03
5.721321691670931383e-04,7.855556146982341488e+03
5.757531172936948593e-04,7.902259083536241633e+03
5.793969819176410891e-04,7.949226674371035188e+03
5.830639080743843343e-04,7.996460223342241079e+03
5.867540417172880307e-04,8.043961038695100797e+03
5.904675297234336390e-04,8.091730433058664858e+03
5.942045198994689399e-04,8.139769723439940208e+03
5.979651609874891798e-04,8.188080231217624714e+03
6.017496026709602845e-04,8.236663282135696136e+03
6.055579955806731892e-04,8.285520206296485412e+03
6.093904913007417530e-04,8.334652338153946403e+03
6.132472423746349348e-04,8.384061016280265903e+03
6.171284023112501684e-04,8.433747577520927734e+03
6.210341255910206736e-04,8.483713356303140245e+03
6.249645676720662433e-04,8.533959690735802724e+03
6.289198849963812191e-04,8.584487922920448909e+03
6.329002349960593295e-04,8.635299398938423110e+03
6.369057760995616799e-04,8.686395468836950386e+03
6.409366677380209541e-04,8.737777486615803355e+03
6.449930703515898518e-04,8.789446810212801211e+03
6.490751453958241123e-04,8.841404801489583406e+03
6.531830553481100983e-04,8.893652826216710309e+03
6.573169637141328212e-04,8.946192254058387334e+03
6.614770350343823465e-04,8.999024458557203616e+03
6.656634348907032421e-04,9.052150817118146733e+03
6.698763299128856607e-04,9.105572710992455541e+03
6.741158877852980544e-04,9.159291525260941853e+03
6.783822772535604397e-04,9.213308647373027270e+03
6.826756681312605955e-04,9.267625456344065242e+03
6.869962313067150403e-04,9.322243328515196481e+03
6.913441387497693642e-04,9.377163643470948955e+03
6.957195635186426896e-04,9.432387784058737452e+03
7.001226797668169081e-04,9.487917136363821555e+03
7.045536627499683104e-04,9.543753089683199505e+03
7.090126888329424757e-04,9.599897036499796741e+03
7.134999354967752399e-04,9.656350372455604884e+03
7.180155813457550799e-04,9.713114496324562424e+03
7.225598061145346125e-04,9.770190809985515443e+03
7.271327906752818836e-04,9.827580718393604911e+03
7.317347170448810969e-04,9.885285629552270620e+03
7.363657683921776866e-04,9.943306954484249218e+03
7.410261290452674083e-04,1.000164610720238852e+04
7.457159844988340029e-04,1.006030450467902301e+04
7.504355214215326130e-04,1.011928356183979668e+04
7.551849276634197122e-04,1.017858467926565390e+04
7.599643922634286789e-04,1.023820925620469097e+04
7.647741054568960029e-04,1.029815869412850589e+04
7.696142586831320517e-04,1.035843439669156396e+04
7.744850445930406271e-04,1.041903776969073442e+04
7.793866570567876354e-04,1.047997022102296069e+04
7.843192911715172458e-04,1.054123316064377104e+04
7.892831432691181388e-04,1.060282800052437051e+04
7.942784109240360506e-04,1.066475615460842346e+04
7.993052929611402018e-04,1.072701903876797041e+04
8.043639894636346122e-04,1.078961807075938850e+04
8.094547017810249266e-04,1.085255467017856245e+04
8.145776325371291513e-04,1.091583025841468952e+04
8.197329856381453108e-04,1.097944625860473570e+04
8.249209662807668094e-04,1.104340409540851397e+04
8.301417809603489672e-04,1.110770518514870673e+04
8.353956374791284651e-04,1.117235093036686339e+04
8.406827449544949406e-04,1.123734273330648102e+04
8.460033138273146238e-04,1.130268199708963402e+04
8.513575558703049325e-04,1.136837012565868827e+04
8.567456841964645776e-04,1.143440852371757319e+04
8.621679132675574451e-04,1.150079859667274468e+04
8.676244589026453754e-04,1.156754175057249086e+04
8.731155382866814417e-04,1.163463939204659073e+04
8.786413699791523419e-04,1.170209292824493059e+04
8.842021739227798804e-04,1.176990376677508721e+04
8.897981714522732984e-04,1.183807331563954540e+04
8.954295853031389585e-04,1.190660298317238085e+04
9.010966396205481429e-04,1.197549417797495698e+04
9.067995599682553750e-04,1.204474830885074516e+04
9.125385733375791916e-04,1.211436678342117193e+04
9.183139081564347392e-04,1.218435099200215700e+04
9.241257942984289295e-04,1.225470231223477822e+04
9.299744630920059015e-04,1.232542212072071743e+04
9.358601473296575355e-04,1.239651179319362382e+04
9.417830812771881780e-04,1.246797270444052810e+04
9.477435006830400811e-04,1.253980622822200530e+04
9.537416427876747871e-04,1.261201373719260482e+04
9.597777463330167463e-04,1.268459660281851029e+04
