366482101231528.75,245911122425472.84,164945192948736.22,110679491542498.25,74260935331422.8,49792688860709.234,33411548017689.414,22412307621175.574,15039267964491.096,10093857703709.61,6773378615920.437,4545661065182.029,3049924988725.845,2046376034164.985,1373285711392.933
245911122425472.84,366482101231528.75,245818327791224.44,164945986272031.84,110671300066659.34,74206197180734.84,49793332656728.03,33401130902263.785,22413067250673.43,15042907145888.277,10094386960278.84,6774412650485.695,4545312580587.095,3049720490531.752,2046611914656.4624
164945192948736.22,245818327791224.44,366482101231528.75,245912305163924.16,164996039794483.88,110631470450380.7,74235169294848.81,49796598758768.29,33414872092232.992,22426953551397.164,15049374784572.92,10099739124692.227,6776450398370.692,4546723523756.816,3051223404000.226
110679491542498.25,164945986272031.84,245912305163924.16,366482101231528.75,245892922350736.3,164873627311827.84,110632368763812.55,74211667184086.83,49798047025671.25,33422797026196.5,22428021605484.812,15051599853208.512,10098916275176.488,6775963445971.012,4547225742442.698
74260935331422.8,110671300066659.34,164996039794483.88,245892922350736.3,366482101231528.75,245729859962037.66,164887962537413.6,110606061636558.47,74219675526743.9,49813783845815.13,33427023461538.0,22433105794041.2,15051559928222.889,10098986574348.84,6777246083103.898
49792688860709.234,74206197180734.84,110631470450380.7,164873627311827.84,245729859962037.66,366482101231528.75,245914301940482.2,164958145028740.62,110691401704153.81,74292396442694.53,49853142788558.94,33456787668456.336,22447932498555.844,15061652746020.107,10107601027741.49
33411548017689.414,49793332656728.03,74235169294848.81,110632368763812.55,164887962537413.6,245914301940482.2,366482101231528.75,245834451792151.78,164961603146691.6,110716755141935.83,74295331251487.8,49860108779523.28,33453790224715.613,22446137141373.004,15063194103908.559
22412307621175.574,33401130902263.785,49796598758768.29,74211667184086.83,110606061636558.47,164958145028740.62,245834451792151.78,366482101231528.75,245919457191602.28,165052980858269.9,110757092467081.78,74329847992996.58,49871835482515.39,33461979979341.754,22455725738254.816
15039267964491.096,22413067250673.43,33414872092232.992,49798047025671.25,74219675526743.9,110691401704153.81,164961603146691.6,245919457191602.28,366482101231528.75,245970627660980.56,165056040856522.1,110770246436700.92,74321630620976.67,49866801408242.86,33464702822691.37
10093857703709.61,15042907145888.277,22426953551397.164,33422797026196.5,49813783845815.13,74292396442694.53,110716755141935.83,165052980858269.9,245970627660980.56,366482101231528.75,245924016413164.2,165041302102170.62,110734958949937.55,74298668648261.92,49860484254454.48
6773378615920.437,10094386960278.84,15049374784572.92,22428021605484.812,33427023461538.0,49853142788558.94,74295331251487.8,110757092467081.78,165056040856522.1,245924016413164.2,366482101231528.75,245948663601743.7,165019996939135.22,110721728613824.7,74303336878227.27
4545661065182.029,6774412650485.695,10099739124692.227,15051599853208.512,22433105794041.2,33456787668456.336,49860108779523.28,74329847992996.58,110770246436700.92,165041302102170.62,245948663601743.7,366482101231528.75,245892270109679.72,164983745632736.47,110717588901970.4
3049924988725.845,4545312580587.095,6776450398370.692,10098916275176.488,15051559928222.889,22447932498555.844,33453790224715.613,49871835482515.39,74321630620976.67,110734958949937.55,165019996939135.22,245892270109679.72,366482101231528.75,245894634026371.2,165015413481618.78
2046376034164.985,3049720490531.752,4546723523756.816,6775963445971.012,10098986574348.84,15061652746020.107,22446137141373.004,33461979979341.754,49866801408242.86,74298668648261.92,110721728613824.7,164983745632736.47,245894634026371.2,366482101231528.75,245939467966785.6
1373285711392.933,2046611914656.4624,3051223404000.226,4547225742442.698,6777246083103.898,10107601027741.49,15063194103908.559,22455725738254.816,33464702822691.37,49860484254454.48,74303336878227.27,110717588901970.4,165015413481618.78,245939467966785.6,366482101231528.75
